en_source,vn_translate,loi_du_doan
"It's right below the Thorncrown Rises, past the Twin Peaks...","Nó nằm ngay dưới Thorncrown Rises, qua hai ngọn Twin Peaks...",C?n ti?ng Anh nghi v?n: Peaks; Rises; Thorncrown; Twin | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"Whoa! Welcome! Welcome! Ragunna has an endless array of culinary delights! We have Margherita Steak, Nectarwine, Pizza Classica, and Nuvola Pasta...","Ôi chào mừng! Chào mừng đến với Ragunna! Nơi đây có vô vàn món ăn ngon! Từ Bít tết Margherita, Rượu Nectar, Pizza Classica, đến Mì Nuvola...",C?n ti?ng Anh nghi v?n: Classica; Margherita; Nuvola; Pizza | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"Well, we're heading to the Gorges of Spirits to investigate a giant Tacet Discord found there.",Chúng ta đang trên đường đến Gorges of Spirits để điều tra một Tacet Discord khổng lồ được phát hiện ở đó.,C?n ti?ng Anh nghi v?n: Discord; Gorges; of; Spirits | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"Look, this is Shen Yin, his nickname is Divine Eagle because he is exceptionally good at marksmanship.","Nhìn này, đây là Shen Yin, biệt danh của anh ấy là Divine Eagle vì tài thiện xạ của anh ấy xuất chúng lắm.",C?n ti?ng Anh nghi v?n: Divine; Eagle; Shen; Yin | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"""To the Awakened One: When raindrops fall upstream, please head to the Norfall Barrens, and seek General Jiyan of the Midnight Rangers.""","""Gửi Rover: Khi giọt mưa rơi ngược dòng, hãy đến vùng đất hoang Norfall, tìm Đại tướng Jiyan của Midnight Rangers.""",C?n ti?ng Anh nghi v?n: Jiyan; Midnight; Norfall; Rangers | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"Oh, no need for that! I have full faith in Mr. Copo and Lollo Logistics! Bet he's already told you about the host? What's he called now...? Ah, Geisel!","Ôi, không cần đâu! Tôi hoàn toàn tin tưởng ông Copo và Lollo Logistics! Chắc ông ấy đã kể cho anh về chủ nhà rồi chứ? Gọi là gì nhỉ... À, Geisel!",C?n ti?ng Anh nghi v?n: Copo; Geisel; Logistics; Lollo | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"Allow me to clarify. At the Forever Fest, we observe a long-standing tradition that mixologists are not hired, but chosen by the guests themselves. And for the Lollo Party, we wanted to keep that tradition alive.","Để ta làm rõ. Tại Forever Fest, chúng tôi duy trì truyền thống lâu đời rằng người pha chế không được thuê, mà được chính khách mời lựa chọn. Và với Lollo Party, chúng tôi muốn giữ gìn truyền thống ấy.",C?n ti?ng Anh nghi v?n: Fest; Forever; Lollo; Party | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"Well, that's a shame. I heard this bar table is where Talos got her butt kicked by the Blazing Nightwalker, and then knocked out by a beer bottle...","Thật tiếc thật. Nghe nói cái bàn bar này chính là nơi Talos bị Blazing Nightwalker hạ gục, rồi lại bị một chai bia hạ đo ván...",C?n ti?ng Anh nghi v?n: bar; Blazing; Nightwalker; Talos | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"Check this out, Gedao! Pastries from Xiehua Village! Aalto and Encore brought it back from Jinzhou for us.","Nhìn này, Gedao! Bánh ngọt từ Làng Xiehua đấy! Aalto và Encore mang về từ Jinzhou cho tụi mình.",C?n ti?ng Anh nghi v?n: Aalto; Encore; Gedao; Xiehua | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"Understood. After transferring its orbit, Hearth χ3 exchanged codes with Heluo RU, the closest Matrix.","Đã rõ. Sau khi điều chỉnh quỹ đạo, Hearth χ3 đã trao đổi mã với Heluo RU, Matrix gần nhất.",C?n ti?ng Anh nghi v?n: Hearth; Heluo; Matrix; RU | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"Pan Cake taught them that! In fact, all the Fae Ignises in the troupe have picked it up now.","Chính Pan Cake đã dạy họ điều đó! Thực ra, giờ cả đám Fae Ignises trong đoàn đều học theo rồi.",C?n ti?ng Anh nghi v?n: Cake; Fae; Ignises; Pan | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
Novelty is a new card category added to the Lahai-Roi version of Peaks of Prestige. They are items with unique powers.,Mới Lạ là loại thẻ mới được bổ sung trong phiên bản Lahai-Roi của *Peaks of Prestige*. Đây là những vật phẩm sở hữu sức mạnh độc đáo.,C?n ti?ng Anh nghi v?n: Lahai; of; Peaks; Prestige | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"""I-It's the draft for the next issue of ""Flame Rider: Sacred Spear""...Completely hand-drawn. A-And it's worth quite a lot actually. I want you to have it.""","""Đ-Đây là bản thảo số tiếp theo của *Flame Rider: Sacred Spear*... Hoàn toàn vẽ tay đấy. V-Và nó có giá trị lắm. Tôi muốn tặng cậu.""",C?n ti?ng Anh nghi v?n: Flame; Rider; Sacred; Spear | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"A blended juice made from Sunflare Everlasting and several fruits. Balancing sweet and sour flavors, it is a traditional base for Nectarwine in Egla Town.","Nước ép pha trộn từ Sunflare Everlasting và vài loại trái cây. Vị chua ngọt cân bằng, là nguyên liệu truyền thống để pha chế Nectarwine ở Thị trấn Egla.",C?n ti?ng Anh nghi v?n: Egla; Everlasting; Nectarwine; Sunflare | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"{PlayerName}, to continue with the Restoration, we must collect more Type-Q Restoratives in Solisia Landing.","{PlayerName}, để tiếp tục công cuộc Phục Hồi, chúng ta cần thu thập thêm Type-Q Restorative ở Solisia Landing.",C?n ti?ng Anh nghi v?n: Landing; Q; Solisia; Type | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
Hear about Sigrika's nightmare in Gold Suspended in Shadows.,Nghe về cơn ác mộng của Sigrika trong *Gold Suspended in Shadows* đi.,C?n ti?ng Anh nghi v?n: Gold; in; Shadows; Suspended | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
