en_source,vn_translate,loi_du_doan
A m-misunderstanding?,M-một sự hiểu lầm thôi à?,C?n ti?ng Anh nghi v?n: M | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ha! Then that means… you've officially debunked another urban legend.,Ha! Vậy là… cậu đã chính thức bóc mẽ thêm một truyền thuyết đô thị nữa rồi.,C?n ti?ng Anh nghi v?n: Ha | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Something weird? Hehe... Do. You. Mean. Me?,Chuyện kỳ lạ à? Hehe... Ý. Cậu. Là. Tôi. Đấy?,C?n ti?ng Anh nghi v?n: Hehe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
The Bjartr Woods?,Rừng Bjartr Ư?,C?n ti?ng Anh nghi v?n: Bjartr | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
...All we need now is a Soliskin.,...Giờ chỉ thiếu mỗi một tấm Soliskin nữa thôi.,C?n ti?ng Anh nghi v?n: Soliskin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Can you understand Soliskin?,Cậu có hiểu được Soliskin không?,C?n ti?ng Anh nghi v?n: Soliskin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
This looks like another Soliskin playground...,Trông như một sân chơi Soliskin khác...,C?n ti?ng Anh nghi v?n: Soliskin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Chuluu!,Chuluu!,C?n ti?ng Anh nghi v?n: Chuluu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Robbie stares at it and feels nothing. It seems Geospiders are wholly ineffective.,Robbie nhìn chằm chằm vào nó mà chẳng cảm thấy gì. Có vẻ như Bọ Địa Chấn hoàn toàn vô dụng.,C?n ti?ng Anh nghi v?n: Robbie | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Hehe... I'm only joking, Mentor.","Hehe... Chỉ đùa thôi mà, Sư phụ.",C?n ti?ng Anh nghi v?n: Hehe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"I'm Xiaochun, from the Route Constructor Fan Club. I'm researching the evolution of road construction technology under my advisor's supervision.","Tớ là Xiaochun, thành viên Câu lạc bộ Người hâm mộ Xây dựng Đường. Tớ đang nghiên cứu sự phát triển của công nghệ xây dựng đường dưới sự hướng dẫn của cố vấn.",C?n ti?ng Anh nghi v?n: Xiaochun | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"The Spacetrek Observatory's Suspension Platform uses some of this tech, but that needs a bunch of other devices supporting it to stay in the air.","Bệ Nổi của Đài thiên văn Spacetrek sử dụng một phần công nghệ này, nhưng cần thêm nhiều thiết bị hỗ trợ khác để giữ nó lơ lửng trên không.",C?n ti?ng Anh nghi v?n: Spacetrek | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
(Contaminated <te href=700022>Exoswarm</te>?),(<te href=700022>Exoswarm</te> bị nhiễm độc à?),C?n ti?ng Anh nghi v?n: Exoswarm | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Tch, again?","Tch, lại nữa à?",C?n ti?ng Anh nghi v?n: Tch | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
I'm {PlayerName} from Rabelle College.,"Tớ là {PlayerName}, đến từ Học viện Rabelle.",C?n ti?ng Anh nghi v?n: Rabelle | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lynae?,Lynae à?,C?n ti?ng Anh nghi v?n: Lynae | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Those are just the server racks for the Cassette frequency data.,Đó chỉ là các giá đỡ máy chủ lưu trữ dữ liệu tần số Cassette thôi.,C?n ti?ng Anh nghi v?n: Cassette | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"You came to burn your Cassette, right? I'll take you.",Cậu đến để đốt Cassette phải không? Để tớ đưa cậu đi.,C?n ti?ng Anh nghi v?n: Cassette | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Ah, understood, Professor Mornye.","À, hiểu rồi, Giáo sư Mornye.",C?n ti?ng Anh nghi v?n: Mornye | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Professor Mornye, about my frequency...","Giáo sư Mornye, về tần số của tôi...",C?n ti?ng Anh nghi v?n: Mornye | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"So you came here by the same means as Miss Chisa, correct?",Vậy là cậu đến đây bằng cách tương tự như cô Chisa đúng không?,C?n ti?ng Anh nghi v?n: Chisa | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"This may not be the right time for such questions, Professor Warren.","Có lẽ chưa phải lúc để hỏi những câu như vậy đâu, Giáo sư Warren.",C?n ti?ng Anh nghi v?n: Warren | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Allow me to introduce myself: I'm Warren, supervisor of this lab.","Để tôi tự giới thiệu: Tôi là Warren, giám sát viên của phòng thí nghiệm này.",C?n ti?ng Anh nghi v?n: Warren | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Let's roll! Hehe, and hey, this way I get to take you for a joyride.","Đi thôi nào! Hehe, và này, thế là tớ lại được chở cậu đi chơi rồi.",C?n ti?ng Anh nghi v?n: Hehe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"I... I noticed that Hyvatia was out of control, so I tried to stop it.",Mình... mình thấy Hyvatia mất kiểm soát nên đã cố ngăn lại.,C?n ti?ng Anh nghi v?n: Hyvatia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Every other Exoswarm answered the call… except for this child.,Mọi Exoswarm khác đều đã đáp lời... ngoại trừ đứa trẻ này.,C?n ti?ng Anh nghi v?n: Exoswarm | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
So you're saying this Kronablight is trying to go home?,Vậy là cậu nói Kronablight đang cố trở về nhà à?,C?n ti?ng Anh nghi v?n: Kronablight | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Then this must be part of the Exostrider.,Vậy thì cái này chắc hẳn là một phần của Exostrider.,C?n ti?ng Anh nghi v?n: Exostrider | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
What's a Kronablight?,Kronablight là gì vậy?,C?n ti?ng Anh nghi v?n: Kronablight | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"But the moment I arrived, a Kronablight barged in…","Nhưng vừa đặt chân đến, một Kronablight đã ập tới...",C?n ti?ng Anh nghi v?n: Kronablight | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"But the moment I arrived, a Kronablight barged in…","Nhưng vừa đặt chân đến, một Kronablight đã ập tới...",C?n ti?ng Anh nghi v?n: Kronablight | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"No path ahead!! Jump, JUMP!! Aaaah!!","Không còn đường phía trước!! Nhảy đi, NHẢY ĐI!! Aaaah!!",C?n ti?ng Anh nghi v?n: Aaaah | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Yes. It had lost its place as an Exoswarm, yet that was not all it was.","Đúng. Nó đã mất đi vị trí của một Exoswarm, nhưng đó không phải tất cả.",C?n ti?ng Anh nghi v?n: Exoswarm | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Even contaminated, it was still trying to help the Exostrider.","Dù đã bị nhiễm độc, nó vẫn cố gắng giúp đỡ Exostrider.",C?n ti?ng Anh nghi v?n: Exostrider | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Soliskin... Wait! Don't run off yet!,Soliskin... Đợi đã! Đừng có chạy đi vội!,C?n ti?ng Anh nghi v?n: Soliskin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"I only wanted to protect it, but then Ghera came and rallied everyone against me, saying they'd rely on their own strength.","Tôi chỉ muốn bảo vệ nó thôi, nhưng rồi Ghera xuất hiện, tập hợp mọi người chống lại tôi, bảo họ sẽ dựa vào sức mình.",C?n ti?ng Anh nghi v?n: Ghera | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
This Edelschnee?,Đây là Edelschnee à?,C?n ti?ng Anh nghi v?n: Edelschnee | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Yes, the Edelschnee...","Đúng, Edelschnee...",C?n ti?ng Anh nghi v?n: Edelschnee | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Skavitz did say these plants are all prehistoric.,Skavitz có nói mấy cây này đều là thực vật tiền sử đấy.,C?n ti?ng Anh nghi v?n: Skavitz | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"It looks scared... What's it saying, Abby?","Nó trông sợ hãi thế... Nó đang nói gì vậy, Abby?",C?n ti?ng Anh nghi v?n: Abby | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"""Aaaah! The monsters are coming up!!!""","""Aaaah! Lũ quái vật đang trồi lên kìa!!!""",C?n ti?ng Anh nghi v?n: Aaaah | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
You're the first Soliskin to shove me off a cliff.,Cậu là người Soliskin đầu tiên đẩy tôi xuống vách núi đấy.,C?n ti?ng Anh nghi v?n: Soliskin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Chuuluu Chuu chuu!,Chuuluu Chíp chíp!,C?n ti?ng Anh nghi v?n: Chuuluu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Chu, Chuluu...","Chít, Chuluu...",C?n ti?ng Anh nghi v?n: Chuluu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Chuuluu, Chuu!","Chuuluu, Chíp!",C?n ti?ng Anh nghi v?n: Chuuluu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Chuuluu!,Chuuluu!,C?n ti?ng Anh nghi v?n: Chuuluu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Let's have Glommoth here build a path, just like last time.",Để Glommoth xây đường ở đây như lần trước đi.,C?n ti?ng Anh nghi v?n: Glommoth | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aemeath!,Aemeath!,C?n ti?ng Anh nghi v?n: Aemeath | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Enough! No more of this stupid idea, Sigillum!","Đủ rồi! Không được tiếp tục ý tưởng ngớ ngẩn này nữa, Sigillum!",C?n ti?ng Anh nghi v?n: Sigillum | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aemeath!,Aemeath!,C?n ti?ng Anh nghi v?n: Aemeath | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
(And then there's the Stridergate. There must be a connection.),Rồi còn Cổng Stridergate nữa. Chắc hẳn có mối liên hệ nào đó.,C?n ti?ng Anh nghi v?n: Stridergate | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aemeath!,Aemeath!,C?n ti?ng Anh nghi v?n: Aemeath | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
You came to the frostlands for the Exostrider?,Cậu đến vùng băng giá này vì Exostrider à?,C?n ti?ng Anh nghi v?n: Exostrider | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Dr. Herssen…,Bác sĩ Herssen...,C?n ti?ng Anh nghi v?n: Herssen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"What about you, Ms. Nivora? Chasing more fallen debris?","Còn cô, cô Nivora? Lại săn lùng mảnh vỡ rơi à?",C?n ti?ng Anh nghi v?n: Nivora | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Run!,Run!,C?n ti?ng Anh nghi v?n: Run | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
A Synchronist… {PlayerName}… Hahaha!,Một Đồng Bộ Giả… {PlayerName}… Hahaha!,C?n ti?ng Anh nghi v?n: Hahaha | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aemeath?,Aemeath à?,C?n ti?ng Anh nghi v?n: Aemeath | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"Sigrika, could you come to the library with me?","Sigrika, cậu có thể đến thư viện cùng tớ không?",C?n ti?ng Anh nghi v?n: Sigrika | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
…So a girl named Aemeath just got up and left the lecture hall?,…Vậy là có một cô gái tên Aemeath đứng dậy bỏ về giữa giờ giảng à?,C?n ti?ng Anh nghi v?n: Aemeath | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"President Lucilla, what do you know about her?","Chủ tịch Lucilla, bà biết gì về cô ấy?",C?n ti?ng Anh nghi v?n: Lucilla | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aemeath was a Synchronist. Brilliant. Popular. Professors had high hopes for her.,Aemeath từng là Đồng Bộ Giả. Tài năng. Nổi tiếng. Các giáo sư đặt nhiều kỳ vọng vào cô.,C?n ti?ng Anh nghi v?n: Aemeath | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
(Soliskin? What could they be doing here?),(Soliskin? Họ đến đây làm gì nhỉ?),C?n ti?ng Anh nghi v?n: Soliskin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Nivora!,Nivora!,C?n ti?ng Anh nghi v?n: Nivora | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Someone's falling straight from the Etheric Sea!,Có người đang rơi thẳng từ Biển Etheric xuống!,C?n ti?ng Anh nghi v?n: Etheric | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aemeath?,Aemeath à?,C?n ti?ng Anh nghi v?n: Aemeath | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Haha! Not at all.,Haha! Hoàn toàn không phải vậy.,C?n ti?ng Anh nghi v?n: Haha | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
