en_source,vn_translate,loi_du_doan
"Think too little of the Exoswarm, you do... They are a part of the ecosystem itself.",Cậu coi thường Exoswarm quá đấy... Chúng là một phần của hệ sinh thái.,C?n ti?ng Anh nghi v?n: Exoswarm | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
What's wrong with this Kronapuff?,Con Kronapuff này sao vậy?,C?n ti?ng Anh nghi v?n: Kronapuff | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"You...! Ugh, fine! Save some for me!","Ngươi...! Ugh, được rồi! Để dành chút cho ta nữa chứ!",C?n ti?ng Anh nghi v?n: Ugh | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
For survival...? Those banished from the tribe would never be accepted by the Spacetrek Collective either. How are they supposed to survive?,Để sống sót ư...? Những kẻ bị bộ tộc ruồng bỏ cũng chẳng bao giờ được Tập thể Spacetrek chấp nhận. Làm sao chúng sống nổi?,C?n ti?ng Anh nghi v?n: Spacetrek | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
Are you defending them? You're a Shepherd... Why are you taking their side?,Cậu đang bảo vệ bọn chúng à? Cậu là một Shepherd... Sao lại đứng về phe chúng?,C?n ti?ng Anh nghi v?n: Shepherd | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
How did a Soliskin end up all the way out here?,Sao một con Soliskin lại lạc đến tận nơi này?,C?n ti?ng Anh nghi v?n: Soliskin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"Wait, the Reactor's glow is just about to make the perfect refraction on the Antivoid Canopy!","Khoan, ánh sáng của Lò Phản Ứng sắp tạo ra khúc xạ hoàn hảo trên Mái Vòm Antivoid rồi!",C?n ti?ng Anh nghi v?n: Antivoid | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"I know you miss your sister, but the Soliskin that came home yesterday is still waiting for you.","Ta biết ngươi nhớ chị gái mình, nhưng Soliskin trở về hôm qua vẫn đang đợi ngươi đấy.",C?n ti?ng Anh nghi v?n: Soliskin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"Eureka! Once I'm back at the Academy, I'll write a paper on this! The professor is going to be stunned!","Eureka! Về đến Học viện, ta sẽ viết ngay một bài nghiên cứu về cái này! Giáo sư chắc sẽ ngạc nhiên lắm!",C?n ti?ng Anh nghi v?n: Eureka | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"Replacing the sun with that Helios thing… honestly, that's beyond what I can imagine.",Thay thế mặt trời bằng cái thứ Helios ấy… thật sự vượt quá sức tưởng tượng của ta.,C?n ti?ng Anh nghi v?n: Helios | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
…I heard Professor Mornye got hurt during the process.,…Tôi nghe nói Giáo sư Mornye bị thương trong quá trình đó.,C?n ti?ng Anh nghi v?n: Mornye | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"Oh, come on, that was ages ago. Back during the Starward Riseway's Phase One trials, right?","Ôi, thôi nào, chuyện đó lâu lắm rồi. Lúc thử nghiệm Giai đoạn Một của Starward Riseway phải không?",C?n ti?ng Anh nghi v?n: Starward | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"Excuse me, can I sit in the freight carriage? I want to stay with my Clockatoo.","Xin lỗi, tớ có thể ngồi lên xe chở hàng không? Tớ muốn ở cùng Clockatoo của mình.",C?n ti?ng Anh nghi v?n: Clockatoo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"Heh, because there are still plenty of lost people like you out there.","Heh, vì ngoài kia vẫn còn biết bao người lạc lối như ngươi mà.",C?n ti?ng Anh nghi v?n: Heh | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"We've come to feel just how grave our past sins are, so we went to the Solisylum of our own will to seek forgiveness... or punishment.","Chúng tôi đến đây để cảm nhận tội lỗi trong quá khứ nặng nề đến nhường nào, nên đã tự nguyện đến Solisylum để tìm sự tha thứ... hoặc trừng phạt.",C?n ti?ng Anh nghi v?n: Solisylum | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"Stranger, thank you for bringing Lias these medicines!","Này, cậu đã mang thuốc cho Lias đến, cảm ơn cậu nhiều nhé!",C?n ti?ng Anh nghi v?n: Lias | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
This isn't the time to be acting tough. We're going to Bjartr Woods.,Giờ không phải lúc tỏ ra mạnh mẽ đâu. Chúng ta phải đến Rừng Bjartr.,C?n ti?ng Anh nghi v?n: Bjartr | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"Then, you redesign the cabin into a 360-degree, fully accessible layout to optimize spatial efficiency...","Vậy thì, cậu thiết kế lại cabin thành không gian 360 độ, hoàn toàn tiếp cận được để tối ưu hóa hiệu quả sử dụng không gian...",C?n ti?ng Anh nghi v?n: cabin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
"Yes, that's it! For most Roya children, our first ""math class"" isn't a number chart, it's an ancient spiral shell cut open to reveal its shape.","Đúng rồi! Với hầu hết trẻ em Roya, ""tiết toán đầu tiên"" không phải là bảng số, mà là một chiếc vỏ ốc cổ xẻ đôi để lộ hình xoắn ốc bên trong.",C?n ti?ng Anh nghi v?n: Roya | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 6.33
