en_source,vn_translate,loi_du_doan
Your uncle's wife is the Feilian Beringal.,Vợ của chú cậu là Feilian Beringal.,C?n ti?ng Anh nghi v?n: Beringal; Feilian | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Oh hey, it's you, Apex Duelist!","Ôi, này, chính cậu đấy hả, Apex Duelist!",C?n ti?ng Anh nghi v?n: Apex; Duelist | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Ah, there you are, Apex Duelist!","À, Apex Duelist đây rồi!",C?n ti?ng Anh nghi v?n: Apex; Duelist | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Allow me to introduce myself. I am Scipius, and this is Saveria, my associate.","Để tôi tự giới thiệu. Tôi là Scipius, và đây là Saveria, cộng sự của tôi.",C?n ti?ng Anh nghi v?n: Saveria; Scipius | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Hehe, calm yourself, Saveria. I doubt {PlayerName} meant it that way.","Hehe, bình tĩnh nào, Saveria. Tôi không nghĩ {PlayerName} có ý đó đâu.",C?n ti?ng Anh nghi v?n: Hehe; Saveria | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Exactly, more like a hired servant than a Gladiator... Ha, only the Grandinos would waste talent like that.","Đúng vậy, giống như kẻ hầu hạ được thuê hơn là một Võ Sĩ... Ha, chỉ có lũ Grandinos mới phí phạm tài năng như thế.",C?n ti?ng Anh nghi v?n: Grandinos; Ha | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Ah, you are the Apex Duelist, right?","À, cậu chính là Apex Duelist phải không?",C?n ti?ng Anh nghi v?n: Apex; Duelist | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Good to see you again, Apex Duelist! Here for a duel?","Lại gặp lại cậu rồi, Apex Duelist! Lại đây để đấu một trận à?",C?n ti?ng Anh nghi v?n: Apex; Duelist | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Based on the data you sent back, the Inverted Tower may be the ideal place for her recovery.","Dựa trên dữ liệu cậu gửi về, Inverted Tower có lẽ là nơi lý tưởng để cô ấy hồi phục.",C?n ti?ng Anh nghi v?n: Inverted; Tower | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
This must be the entrance to the Lost Beyond.,Đây chắc là lối vào Lost Beyond.,C?n ti?ng Anh nghi v?n: Beyond; Lost | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lalala...lala....,Lalala...lala...,C?n ti?ng Anh nghi v?n: lala; Lalala | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
I thought Betty didn't want Phrolova to perform. The poor child was so upset she almost ran off from home.,Tôi cứ nghĩ Betty không muốn Phrolova biểu diễn. Đứa bé tội nghiệp buồn đến mức suýt bỏ nhà đi luôn ấy.,C?n ti?ng Anh nghi v?n: Betty; Phrolova | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"No, it was the <color=Highlight>wrong</color> Orchestration order.","Không, đó là thứ tự <color=Highlight>wrong</color> của Orchestration.",C?n ti?ng Anh nghi v?n: Orchestration; wrong | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"No, it was the <color=Highlight>wrong</color> Orchestration order.","Không, đó là thứ tự <color=Highlight>wrong</color> của Orchestration.",C?n ti?ng Anh nghi v?n: Orchestration; wrong | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Deep within the Lost Beyond.,Nơi sâu thẳm của Lost Beyond.,C?n ti?ng Anh nghi v?n: Beyond; Lost | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Things are getting worse in the Lost Beyond?,Tình hình ở Lost Beyond đang tệ đi à?,C?n ti?ng Anh nghi v?n: Beyond; Lost | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Woo, I'm Woona. This is Woodo. We're having a once-a-year friends' party.","Ùa, mình là Woona. Đây là Woodo. Bọn mình đang tổ chức tiệc bạn bè hàng năm đấy.",C?n ti?ng Anh nghi v?n: Woodo; Woona | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mi… Misha?,Mi… Misha à?,C?n ti?ng Anh nghi v?n: Mi; Misha | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Haha, then I guess we can't call you ""Timid Acis"" anymore.","Haha, thế thì không thể gọi cậu là ""Acis Nhát Gái"" nữa rồi.",C?n ti?ng Anh nghi v?n: Acis; Haha | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
These aren't Kerasaur footprints. Could it be… the Corrosaurus?,Đây không phải dấu chân Kerasaur. Lẽ nào... là Corrosaurus?,C?n ti?ng Anh nghi v?n: Corrosaurus; Kerasaur | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"By water, you mean the Dark Tide, right?","Nói đến nước, ý cậu là Dark Tide phải không?",C?n ti?ng Anh nghi v?n: Dark; Tide | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
T-to bring Chunkie back!,T-Để đưa Chunkie trở lại!,C?n ti?ng Anh nghi v?n: Chunkie; T | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Thanks to Abby, you can now understand what the Wootter is saying.","Nhờ Abby, giờ cậu đã có thể hiểu Wootter đang nói gì rồi.",C?n ti?ng Anh nghi v?n: Abby; Wootter | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Arctos... Teeny...,Arctos... Teeny...,C?n ti?ng Anh nghi v?n: Arctos; Teeny | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
I saw you fall into the Dark Tide.,Tôi thấy cậu rơi xuống Dark Tide.,C?n ti?ng Anh nghi v?n: Dark; Tide | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Communications with the Black Shores are also underway.,Liên lạc với Black Shores cũng đang được tiến hành.,C?n ti?ng Anh nghi v?n: Black; Shores | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
You can't reach Manes Deep without your sword...,Cậu không thể đến Manes Deep mà không có kiếm của mình...,C?n ti?ng Anh nghi v?n: Deep; Manes | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
More Hollow Figures! So it really was them!,Thêm mấy tên Hollow Figures! Quả nhiên là chúng!,C?n ti?ng Anh nghi v?n: Figures; Hollow | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Au... Augusta, there...","Au... Augusta, ở đó...",C?n ti?ng Anh nghi v?n: Au; Augusta | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Oak Hollow...,Oak Hollow...,C?n ti?ng Anh nghi v?n: Hollow; Oak | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
The truth... The Dark Tide... and the pure frequency...,Sự thật... Dark Tide... và tần số thuần khiết...,C?n ti?ng Anh nghi v?n: Dark; Tide | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Manes Deep... It doesn't exist...,Manes Deep... Nơi đó không hề tồn tại...,C?n ti?ng Anh nghi v?n: Deep; Manes | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Ha... Haha...,Ha... Haha...,C?n ti?ng Anh nghi v?n: Ha; Haha | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
This is the end of our journey... the Earthrend Wedge.,Đây là điểm kết thúc của hành trình... Earthrend Wedge.,C?n ti?ng Anh nghi v?n: Earthrend; Wedge | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Bring up the Black Shores.),Nhắc đến Black Shores.,C?n ti?ng Anh nghi v?n: Black; Shores | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Right. The frequencies the Black Shores detected in both Murmurstown and from the Sovereign are unusually complex.,Đúng vậy. Tần số mà Bờ Đen phát hiện ở cả Murmurstown và từ Sovereign đều phức tạp một cách bất thường.,C?n ti?ng Anh nghi v?n: Murmurstown; Sovereign | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
We've lost sight of Augusta and the Corrosaurus.,Chúng tôi đã mất dấu Augusta và Corrosaurus.,C?n ti?ng Anh nghi v?n: Augusta; Corrosaurus | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Augusta, do you remember Iuno?","Augusta, cô còn nhớ Iuno không?",C?n ti?ng Anh nghi v?n: Augusta; Iuno | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Is your mother the master of this Aria Mummer?,Mẹ cậu là chủ nhân của Aria Mummer này à?,C?n ti?ng Anh nghi v?n: Aria; Mummer | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Strozzia? That's a Ragunnesi name.,Strozzia à? Đó là một cái tên Ragunnesi.,C?n ti?ng Anh nghi v?n: Ragunnesi; Strozzia | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
This Aria Mummer... Are you Grisoni?,Tên diễn viên Aria này... Cậu là Grisoni phải không?,C?n ti?ng Anh nghi v?n: Aria; Grisoni | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"About why Julia doesn't deserve to die, and Luther shouldn't be tried now?","Về việc Julia không đáng chết, và Luther không nên bị xét xử vào lúc này?",C?n ti?ng Anh nghi v?n: Julia; Luther | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
I chose to fall into Dark Tide on my own.,Tôi tự nguyện rơi vào Dark Tide.,C?n ti?ng Anh nghi v?n: Dark; Tide | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
I was just in Oak Hollow... Where am I?,Tôi vừa ở Hollow Oak... Giờ tôi đang ở đâu vậy?,C?n ti?ng Anh nghi v?n: Hollow; Oak | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
That's a long story. Let's speak of more pressing matters. Are you after the Thundering Mephis as well?,Chuyện dài lắm. Nói chuyện cấp bách hơn đi. Cậu cũng đang tìm Thundering Mephis à?,C?n ti?ng Anh nghi v?n: Mephis; Thundering | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
It's the Thundering Mephis.,Đó là Thundering Mephis.,C?n ti?ng Anh nghi v?n: Mephis; Thundering | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
...He's headed for Thessaleo Fells.,...Hắn đang trên đường đến Thessaleo Fells.,C?n ti?ng Anh nghi v?n: Fells; Thessaleo | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dark clouds are gathering over Thessaleo Fells... Something is definitely wrong.,Mây đen đang kéo đến trên vùng Thessaleo Fells... Chắc chắn có điều gì đó bất ổn.,C?n ti?ng Anh nghi v?n: Fells; Thessaleo | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
...The Fisalia bloodline's ties with Leviathan run too deep. Their ancient fears were the first to be awakened.,...Dòng máu Fisalia gắn bó quá sâu với Leviathan. Nỗi sợ cổ xưa của họ là những thứ đầu tiên bị đánh thức.,C?n ti?ng Anh nghi v?n: Fisalia; Leviathan | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Seems like the Order has already transported most of the wounded to Averardo Vault.,Có vẻ như Hội đã chuyển hầu hết người bị thương đến Averardo Vault rồi.,C?n ti?ng Anh nghi v?n: Averardo; Vault | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
About Cartethyia and Galbrena...,Về Cartethyia và Galbrena...,C?n ti?ng Anh nghi v?n: Cartethyia; Galbrena | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
How are things holding up at Averardo Vault?,Tình hình ở Averardo Vault thế nào rồi?,C?n ti?ng Anh nghi v?n: Averardo; Vault | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Ground defenses are holding and no major fluctuations in the Dark Tide for now...,"Hàng phòng thủ mặt đất vẫn đang trụ vững, hiện chưa có biến động lớn nào từ Dark Tide...",C?n ti?ng Anh nghi v?n: Dark; Tide | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
