en_source,vn_translate,loi_du_doan
"Cantarella gives you a reassuring glance. 
Her eyes shimmer like ripples over a moonlit sea as she gazes at the apple and gestures gracefully.","Cantarella liếc nhìn ngươi với ánh mắt trấn an.
Đôi mắt cô lấp lánh như gợn sóng dưới ánh trăng, khi cô nhìn quả táo và ra hiệu một cách duyên dáng.",C?n ti?ng Anh nghi v?n: Cantarella | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Hehe, clever little fish… Have you figured it out? The answer has been right here, waiting to be discovered.","Hehe, cá con thông minh quá… Đã đoán ra chưa? Câu trả lời vẫn ở đây, chờ được khám phá thôi.",C?n ti?ng Anh nghi v?n: Hehe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
But why? Why would the Fisalia family do this?,Nhưng tại sao? Tại sao gia đình Fisalia lại làm vậy?,C?n ti?ng Anh nghi v?n: Fisalia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"There should be a reason behind this… Wait, there's one Fisalia tradition that might explain it. The Divine Trials.","Chắc hẳn có lý do nào đó... Khoan, có một truyền thống của Fisalia có thể giải thích được. Thử Thách Thần Linh.",C?n ti?ng Anh nghi v?n: Fisalia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Oh, is it too much for an innocent lamb like yourself? Hehe, my apologies. I hope this doesn't dampen your spirits.","Ồ, có quá sức với cừu non ngây thơ như cậu không? Hehe, xin lỗi nhé. Hy vọng điều này không làm cậu nản lòng.",C?n ti?ng Anh nghi v?n: Hehe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"And also Girl A, who couldn't speak but managed to send me that message.","Và cả cô gái A nữa, dù không nói được nhưng vẫn gửi tin nhắn cho ta.",C?n ti?ng Anh nghi v?n: A | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"A tarnished reputation? You could have walked away from this, Cantarella.","Danh tiếng bị hoen ố sao? Cô đã có thể tránh được chuyện này mà, Cantarella.",C?n ti?ng Anh nghi v?n: Cantarella | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Hehe, you're right. I have one last favor to ask, {PlayerName}. Could you take the elixir and see the girls home on my behalf?","Hehe, cậu nói đúng rồi. Ta còn một việc cuối muốn nhờ, {PlayerName}. Cậu có thể mang thuốc tiên này và đưa mấy cô nương về nhà hộ ta được không?",C?n ti?ng Anh nghi v?n: Hehe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"The Divine Trials stand as a hallowed tradition of the Fisalia family, a ritual that demands every family member to offer their daughters to face the ordeal.","Thử Thách Thần Thánh là truyền thống thiêng liêng của gia tộc Fisalia, một nghi lễ buộc mọi thành viên phải dâng con gái mình để đối mặt với thử thách.",C?n ti?ng Anh nghi v?n: Fisalia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Little Chloe… I hope she's found peace somewhere, where no pain can reach her anymore.","Chloe nhỏ... Mong con đã tìm được bình yên ở nơi nào đó, nơi không còn nỗi đau nào chạm tới được con nữa.",C?n ti?ng Anh nghi v?n: Chloe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Oh, please don't misunderstand. ""Lethal"" is the highest praise for a Fisalia.","Ôi, đừng hiểu lầm nhé. ""Chí mạng"" là lời khen cao nhất dành cho một Fisalia mà.",C?n ti?ng Anh nghi v?n: Fisalia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"So, when she served me the scone dipped in the essence of Jellyrose, I didn't hesitate to swallow it all.","Thế nên, khi con bé đưa tôi cái bánh nướng nhúng tinh chất Jellyrose, tôi chẳng ngần ngại mà nuốt luôn một phát.",C?n ti?ng Anh nghi v?n: Jellyrose | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"She was much tougher than Hebenon, but still, behind her unwavering gaze, I caught a flicker of reluctance, a shadow of something almost tender.","Nàng cứng rắn hơn Hebenon nhiều, nhưng đằng sau ánh mắt kiên định ấy, ta vẫn bắt gặp thoáng chút do dự, bóng dáng của điều gì đó gần như dịu dàng.",C?n ti?ng Anh nghi v?n: Hebenon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Hebenon was fragile, an easy prey to the Threnodian's whispers.","Hebenon thật mong manh, dễ dàng bị những lời thì thầm của Threnody khuất phục.",C?n ti?ng Anh nghi v?n: Hebenon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"She was never suited to be the Maiden. Truthfully, being chosen would never be an honor.","Nàng chưa bao giờ phù hợp để trở thành Maiden. Thật ra, được chọn cũng chẳng phải vinh dự gì.",C?n ti?ng Anh nghi v?n: Maiden | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Ah, Mandragora. She was so… rigid, so willing to bend to the rules, even if they were impossible.","À, Mandragora. Cô ấy... cứng nhắc quá, sẵn sàng tuân theo mọi quy tắc, dù chúng có phi lý đến đâu.",C?n ti?ng Anh nghi v?n: Mandragora | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Both she and Hebenon vanished during the trial, and no one knew their whereabouts.","Cả cô ấy và Hebenon đều biến mất trong buổi thử nghiệm, không ai biết tung tích của họ.",C?n ti?ng Anh nghi v?n: Hebenon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Gehinnom, the lone dragon to have escaped?","Gehinnom, con rồng cô độc duy nhất thoát được sao?",C?n ti?ng Anh nghi v?n: Gehinnom | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Tell me about Gehinnom.,Kể cho ta về Gehinnom xem.,C?n ti?ng Anh nghi v?n: Gehinnom | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Isn't there one last place to go? Who knows what you'll need to cram into your Tacet Mark next!,Chẳng phải còn một nơi cuối cùng để đến sao? Ai biết được lần này cậu sẽ nhét thêm thứ gì vào Tacet Mark nữa đây!,C?n ti?ng Anh nghi v?n: Mark | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Cadanto was my first Echo after I joined the Order.,Cadanto là Cộng Hưởng Giả đầu tiên của tôi sau khi gia nhập Hội.,C?n ti?ng Anh nghi v?n: Cadanto | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Why dost thou act as my Oracle?,Tại sao ngươi lại đóng vai Oracle của ta?,C?n ti?ng Anh nghi v?n: Oracle | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
