en_source,vn_translate,loi_du_doan
You brief the young girl on what happened to Mt. Firmament and Hongzhen.,Cậu kể tóm tắt cho cô bé về những gì đã xảy ra với Núi Firmament và Hongzhen.,C?n ti?ng Anh nghi v?n: Firmament; Hongzhen | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Let me see. This should be where the final step takes place. By the look of it, is this... the place called Loong's Crest?",Để tớ xem nào. Chắc đây là bước cuối cùng rồi. Nhìn qua thì... chỗ này có phải là Loong's Crest không nhỉ?,C?n ti?ng Anh nghi v?n: Crest; Loong's | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"...Well done, Rover. Testing Prototype Chronosorter status...","...Làm tốt lắm, Rover. Đang kiểm tra tình trạng Prototype Chronosorter...",C?n ti?ng Anh nghi v?n: Chronosorter; Prototype | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"But since you restored Woodveil Hall, the data has... somehow come back to me.","Nhưng từ khi cậu khôi phục Woodveil Hall, dữ liệu... tự nhiên quay về với tôi.",C?n ti?ng Anh nghi v?n: Hall; Woodveil | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"As you press the button on the Prototype Chronosorter, nothing happens.","Khi cậu nhấn nút trên Prototype Chronosorter, chẳng có gì xảy ra cả.",C?n ti?ng Anh nghi v?n: Chronosorter; Prototype | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"This mechanism has allowed us to locate their troops, and we've already eliminated some of them outside the Mianloong Chamber.","Cơ chế này đã giúp ta xác định vị trí quân địch, và chúng ta đã tiêu diệt được vài tên bên ngoài Mianloong Chamber rồi.",C?n ti?ng Anh nghi v?n: Chamber; Mianloong | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
Did Xinyi and Jinhsi know each other?,Xinyi và Jinhsi có quen nhau không nhỉ?,C?n ti?ng Anh nghi v?n: Jinhsi; Xinyi | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"It's a clear sign that your involvement could disrupt their plans, especially at Mt. Firmament.","Đó là dấu hiệu rõ ràng cho thấy sự can thiệp của cậu có thể phá hỏng kế hoạch của bọn họ, nhất là ở Mt. Firmament.",C?n ti?ng Anh nghi v?n: Firmament; Mt | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Yet one suffered severe harm in ancient times, and now relies on the Mianloong Chamber for survival.","Nhưng có kẻ đã chịu thương tật nặng từ thời xa xưa, giờ phải dựa vào Mianloong Chamber để duy trì sự sống.",C?n ti?ng Anh nghi v?n: Chamber; Mianloong | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"But so far, I have not heard anything from the City Hall yet...",Nhưng đến giờ tôi vẫn chưa nghe thấy tin gì từ City Hall cả...,C?n ti?ng Anh nghi v?n: City; Hall | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"If anyone can help us with the situation at Mt. Firmament, it must be {PlayerName}.","Nếu có ai có thể giúp chúng ta giải quyết tình hình ở Mt. Firmament, thì đó hẳn là {PlayerName}.",C?n ti?ng Anh nghi v?n: Firmament; Mt | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"It was the endless kindness of you, Changli, Xinyi, and everyone in Jinzhou that gave me the courage to push on.","Chính là lòng tốt vô bờ của cô, của Changli, Xinyi và mọi người ở Jinzhou đã cho tôi dũng khí để tiếp tục tiến bước.",C?n ti?ng Anh nghi v?n: Changli; Xinyi | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"Oh, when the survey is done tomorrow, let's grab Wei and visit Yuanzhi.","À, mai khảo sát xong, rủ Wei đi thăm Yuanzhi nhé.",C?n ti?ng Anh nghi v?n: Wei; Yuanzhi | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
"I saw how much the local girl you helped has blossomed. You know, the one named Yinyu. She's now a famous guide in Hongzhen.",Ta thấy cô bé địa phương mà cậu giúp đỡ đã trưởng thành biết bao. Cô bé tên Yinyu ấy. Giờ cô ấy đã là một hướng dẫn viên nổi tiếng ở Hongzhen.,C?n ti?ng Anh nghi v?n: Hongzhen; Yinyu | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
You asked the right question. There's a story behind it. Only a handful of young Mt. Firmament locals know about it.,"Ngươi hỏi đúng câu rồi đấy. Câu chuyện đằng sau nó không phải ai cũng biết, chỉ vài đứa trẻ ở Mt. Firmament biết mà thôi.",C?n ti?ng Anh nghi v?n: Firmament; Mt | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.5 | M?c ??: 11.0
