en_source,vn_translate,loi_du_doan
Grandino Agent,Grandino Agent,C?n ti?ng Anh nghi v?n: Agent; Grandino | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Little Caius,Little Caius,C?n ti?ng Anh nghi v?n: Caius; Little | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk to Jojo and Chloe,Nói chuyện với Jojo và Chloe,C?n ti?ng Anh nghi v?n: Chloe; Jojo | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mourning Aix,Mourning Aix,C?n ti?ng Anh nghi v?n: Aix; Mourning | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Bridged Dreamscape,Bridged Dreamscape,C?n ti?ng Anh nghi v?n: Bridged; Dreamscape | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Ordega Rai,Ordega Rai,C?n ti?ng Anh nghi v?n: Ordega; Rai | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mysterious Chest,Mysterious Chest,C?n ti?ng Anh nghi v?n: Chest; Mysterious | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Scared Fluffguin,Scared Fluffguin,C?n ti?ng Anh nghi v?n: Fluffguin; Scared | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Template Generator,Template Generator,C?n ti?ng Anh nghi v?n: Generator; Template | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Stone Rose,Stone Rose,C?n ti?ng Anh nghi v?n: Rose; Stone | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Viscum Berry,Viscum Berry,C?n ti?ng Anh nghi v?n: Berry; Viscum | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lost Roya,Lost Roya,C?n ti?ng Anh nghi v?n: Lost; Roya | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Recording Machine,Recording Machine,C?n ti?ng Anh nghi v?n: Machine; Recording | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
5-Star Assessor,5-Star Assessor,C?n ti?ng Anh nghi v?n: Assessor; Star | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Chasm Rider,Chasm Rider,C?n ti?ng Anh nghi v?n: Chasm; Rider | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
KU-Irwin,KU-Irwin,C?n ti?ng Anh nghi v?n: Irwin; KU | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
: Starward Handmaiden,: Starward Handmaiden,C?n ti?ng Anh nghi v?n: Handmaiden; Starward | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Blurred Figure,Blurred Figure,C?n ti?ng Anh nghi v?n: Blurred; Figure | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
