en_source,vn_translate,loi_du_doan
Pioneer Podcast Tasks not found,Không tìm thấy nhiệm vụ Pioneer Podcast,C?n ti?ng Anh nghi v?n: Pioneer; Podcast | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Pioneer Podcast Tasks not completed,Nhiệm vụ Pioneer Podcast chưa hoàn thành,C?n ti?ng Anh nghi v?n: Pioneer; Podcast | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mutterfly base activated,Mutterfly base đã kích hoạt,C?n ti?ng Anh nghi v?n: base; Mutterfly | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mutterfly base does not exist,Mutterfly base không tồn tại,C?n ti?ng Anh nghi v?n: base; Mutterfly | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Invalid Token,Invalid Token,C?n ti?ng Anh nghi v?n: Invalid; Token | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Invalid GM,Invalid GM,C?n ti?ng Anh nghi v?n: GM; Invalid | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sonoro Sphere,Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sound Wave,Sound Wave,C?n ti?ng Anh nghi v?n: Sound; Wave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sound Wave,Sound Wave,C?n ti?ng Anh nghi v?n: Sound; Wave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sound Wave,Sound Wave,C?n ti?ng Anh nghi v?n: Sound; Wave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sound Wave,Sound Wave,C?n ti?ng Anh nghi v?n: Sound; Wave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Current Progress: 0/100,Current Progress: 0/100,C?n ti?ng Anh nghi v?n: Current; Progress | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Insufficient Credits,Insufficient Credits,C?n ti?ng Anh nghi v?n: Credits; Insufficient | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Cannot enter Sonoro Sphere with Trial Character,Không thể vào Sonoro Sphere với Nhân Vật Thử Nghiệm,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Cannot enter Sonoro Sphere with Trial Character,Không thể vào Sonoro Sphere với Nhân Vật Thử Nghiệm,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Add Emotes,Add Emotes,C?n ti?ng Anh nghi v?n: Add; Emotes | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Change Sentence,Change Sentence,C?n ti?ng Anh nghi v?n: Change; Sentence | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Age-rating Notice,Age-rating Thông báo,C?n ti?ng Anh nghi v?n: Age; rating | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Medium Risk,Medium Risk,C?n ti?ng Anh nghi v?n: Medium; Risk | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Seasonal Specials,Seasonal Specials,C?n ti?ng Anh nghi v?n: Seasonal; Specials | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Morning Broadcasts,Morning Broadcasts,C?n ti?ng Anh nghi v?n: Broadcasts; Morning | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Star Rebound,Star Rebound,C?n ti?ng Anh nghi v?n: Rebound; Star | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weekly Highlights,Weekly Highlights,C?n ti?ng Anh nghi v?n: Highlights; Weekly | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Common Class,Common Class,C?n ti?ng Anh nghi v?n: Class; Common | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Calamity Class,Calamity Class,C?n ti?ng Anh nghi v?n: Calamity; Class | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
