en_source,vn_translate,loi_du_doan
Tacet Field: Rewards,Tacet Field: Phần Thưởng,C?n ti?ng Anh nghi v?n: Field | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Fusion Prism,Fusion Prism,C?n ti?ng Anh nghi v?n: Prism | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Glacio Prism,Glacio Prism,C?n ti?ng Anh nghi v?n: Prism | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Spectro Prism,Spectro Prism,C?n ti?ng Anh nghi v?n: Prism | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Havoc Prism,Havoc Prism,C?n ti?ng Anh nghi v?n: Prism | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
SOL3 Phase Ascension: II,Thăng Tiến Pha SOL3: II,C?n ti?ng Anh nghi v?n: II | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Unlocking Echoes,Unlocking Echoes,C?n ti?ng Anh nghi v?n: Unlocking | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Viewing Echoes,Viewing Echoes,C?n ti?ng Anh nghi v?n: Viewing | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Duel Resonance,Duel Resonance,C?n ti?ng Anh nghi v?n: Duel | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Echo Challenge: Cruisewing,Thử Thách Echo: Cruisewing,C?n ti?ng Anh nghi v?n: Cruisewing | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Cruisewing Echo Challenge,Thử Thách Echo Cruisewing,C?n ti?ng Anh nghi v?n: Cruisewing | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Reconstructing Echoes,Reconstructing Echoes,C?n ti?ng Anh nghi v?n: Reconstructing | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Echo Challenge: Gulpuff,Thử Thách Echo: Gulpuff,C?n ti?ng Anh nghi v?n: Gulpuff | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Echo Hunters,Echo Hunters,C?n ti?ng Anh nghi v?n: Hunters | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Special BA,Special BA,C?n ti?ng Anh nghi v?n: Special | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Enhanced BA,Enhanced BA,C?n ti?ng Anh nghi v?n: Enhanced | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Tacet Field,Tacet Field,C?n ti?ng Anh nghi v?n: Field | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Resonance Nexus,Resonance Nexus,C?n ti?ng Anh nghi v?n: Nexus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Resonance Beacon,Resonance Beacon,C?n ti?ng Anh nghi v?n: Beacon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Restoring the Morph Painting,Khôi phục bức tranh Morph,C?n ti?ng Anh nghi v?n: Morph | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Enhancement: Glacio Chafe,Tăng Cường: Glacio Chafe,C?n ti?ng Anh nghi v?n: Chafe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Enhancement: Fusion Burst,Tăng Cường: Fusion Burst,C?n ti?ng Anh nghi v?n: Burst | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Enhancement: Spectro Frazzle,Tăng Cường: Spectro Frazzle,C?n ti?ng Anh nghi v?n: Frazzle | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Enhancement: Havoc Bane,Tăng Cường: Havoc Bane,C?n ti?ng Anh nghi v?n: Bane | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Open Utility and access Flight,Mở Công cụ và truy cập Flight,C?n ti?ng Anh nghi v?n: Flight | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Echo Recommendation,Echo Recommendation,C?n ti?ng Anh nghi v?n: Recommendation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Echo Presets,Echo Presets,C?n ti?ng Anh nghi v?n: Presets | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Aero Prism,Aero Prism,C?n ti?ng Anh nghi v?n: Prism | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Aero Prism,Aero Prism,C?n ti?ng Anh nghi v?n: Prism | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Controlling Echoes,Controlling Echoes,C?n ti?ng Anh nghi v?n: Controlling | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Resonator Restrictions,Resonator Restrictions,C?n ti?ng Anh nghi v?n: Restrictions | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Echo Types,Echo Types,C?n ti?ng Anh nghi v?n: Types | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Tidal Defense Simulator - KU-Money's Shop,Mô Phỏng Phòng Thủ Thủy Triều - Cửa Hàng KU-Money,C?n ti?ng Anh nghi v?n: KU | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Terminal Swap,Terminal Swap,C?n ti?ng Anh nghi v?n: Swap | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Lollo Campaign: Ice Savior,Chiến dịch Lollo: Vị cứu tinh băng giá,C?n ti?ng Anh nghi v?n: Lollo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Combat Machines & KU-Roro's Weapons,Cỗ Máy Chiến Đấu & Vũ Khí của KU-Roro,C?n ti?ng Anh nghi v?n: KU | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Resonators can use Active Skills and Dash,Resonator có thể sử dụng Kỹ Năng Chủ Động và Dash,C?n ti?ng Anh nghi v?n: Dash | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Terminal Swap,Terminal Swap,C?n ti?ng Anh nghi v?n: Swap | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Stranger Things in Honami: Unequippable Loot,Những Điều Kỳ Lạ Ở Honami: Vật Phẩm Không Thể Trang Bị,C?n ti?ng Anh nghi v?n: Honami | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Namipon Badge,Huy Hiệu Namipon,C?n ti?ng Anh nghi v?n: Namipon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Stranger Things in Honami: New Content,Những Điều Kỳ Lạ Ở Honami: Nội Dung Mới,C?n ti?ng Anh nghi v?n: Honami | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Stranger Things in Honami: New Content,Những Điều Kỳ Lạ Ở Honami: Nội Dung Mới,C?n ti?ng Anh nghi v?n: Honami | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Enhance Resonator,Enhance Resonator,C?n ti?ng Anh nghi v?n: Enhance | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Defeating Enemies in Lahai-Roi,Đánh bại kẻ địch tại Lahai-Roi,C?n ti?ng Anh nghi v?n: Lahai | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
