en_source,vn_translate,loi_du_doan
Passive - Blueprint,Passive - Blueprint,C?n ti?ng Anh nghi v?n: Blueprint; Passive | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Prismatic Overblast,Prismatic Overblast,C?n ti?ng Anh nghi v?n: Overblast; Prismatic | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dummy Honey,Dummy Honey,C?n ti?ng Anh nghi v?n: Dummy; Honey | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Infinity Calibration,Infinity Calibration,C?n ti?ng Anh nghi v?n: Calibration; Infinity | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Passive - Fudoshin,Passive - Fudoshin,C?n ti?ng Anh nghi v?n: Fudoshin; Passive | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leader Pinball level is low,Cấp Leader Pinball quá thấp,C?n ti?ng Anh nghi v?n: Leader; Pinball | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Light Dagger,Light Dagger,C?n ti?ng Anh nghi v?n: Dagger; Light | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Bubble Blaster,Bubble Blaster,C?n ti?ng Anh nghi v?n: Blaster; Bubble | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Laser Cannon,Laser Cannon,C?n ti?ng Anh nghi v?n: Cannon; Laser | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Aura Staff,Aura Staff,C?n ti?ng Anh nghi v?n: Aura; Staff | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Refraction Knife,Refraction Knife,C?n ti?ng Anh nghi v?n: Knife; Refraction | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lumen Cutter,Lumen Cutter,C?n ti?ng Anh nghi v?n: Cutter; Lumen | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dawnblade I,Dawnblade I,C?n ti?ng Anh nghi v?n: Dawnblade; I | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dawnblade II,Dawnblade II,C?n ti?ng Anh nghi v?n: Dawnblade; II | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dawnblade III,Dawnblade III,C?n ti?ng Anh nghi v?n: Dawnblade; III | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Stardust Estoc,Stardust Estoc,C?n ti?ng Anh nghi v?n: Estoc; Stardust | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Starlane Longsword,Starlane Longsword,C?n ti?ng Anh nghi v?n: Longsword; Starlane | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Vintage Laser,Vintage Laser,C?n ti?ng Anh nghi v?n: Laser; Vintage | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Interstellar Signpost,Interstellar Signpost,C?n ti?ng Anh nghi v?n: Interstellar; Signpost | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Verity's Handle,Verity's Handle,C?n ti?ng Anh nghi v?n: Handle; Verity's | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Emerald Sentence,Emerald Sentence,C?n ti?ng Anh nghi v?n: Emerald; Sentence | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Verdant Summit,Verdant Summit,C?n ti?ng Anh nghi v?n: Summit; Verdant | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Blazing Brilliance,Blazing Brilliance,C?n ti?ng Anh nghi v?n: Blazing; Brilliance | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lux & Umbra,Lux & Umbra,C?n ti?ng Anh nghi v?n: Lux; Umbra | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Wildfire Mark,Wildfire Mark,C?n ti?ng Anh nghi v?n: Mark; Wildfire | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Moongazer's Sigil,Moongazer's Sigil,C?n ti?ng Anh nghi v?n: Moongazer's; Sigil | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Woodland Aria,Woodland Aria,C?n ti?ng Anh nghi v?n: Aria; Woodland | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Thunderflare Dominion,Thunderflare Dominion,C?n ti?ng Anh nghi v?n: Dominion; Thunderflare | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Starfield Calibrator,Starfield Calibrator,C?n ti?ng Anh nghi v?n: Calibrator; Starfield | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Spectrum Blaster,Spectrum Blaster,C?n ti?ng Anh nghi v?n: Blaster; Spectrum | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Daybreaker's Spine,Daybreaker's Spine,C?n ti?ng Anh nghi v?n: Daybreaker's; Spine | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Everbright Polestar,Everbright Polestar,C?n ti?ng Anh nghi v?n: Everbright; Polestar | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Solsworn Ciphers,Solsworn Ciphers,C?n ti?ng Anh nghi v?n: Ciphers; Solsworn | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Pinball Info,Pinball Info,C?n ti?ng Anh nghi v?n: Info; Pinball | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sundering Strike,Sundering Strike,C?n ti?ng Anh nghi v?n: Strike; Sundering | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hellflare Overload,Hellflare Overload,C?n ti?ng Anh nghi v?n: Hellflare; Overload | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Ignis Lupa,Ignis Lupa,C?n ti?ng Anh nghi v?n: Ignis; Lupa | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Moon Domain,Moon Domain,C?n ti?ng Anh nghi v?n: Domain; Moon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Critical Protocol,Critical Protocol,C?n ti?ng Anh nghi v?n: Critical; Protocol | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dreamweaver's Banquet,Dreamweaver's Banquet,C?n ti?ng Anh nghi v?n: Banquet; Dreamweaver's | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Shared Voyage,Shared Voyage,C?n ti?ng Anh nghi v?n: Shared; Voyage | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Restoration Site,Restoration Site,C?n ti?ng Anh nghi v?n: Restoration; Site | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Deliver Materials,Deliver Materials,C?n ti?ng Anh nghi v?n: Deliver; Materials | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Silent Crag,Silent Crag,C?n ti?ng Anh nghi v?n: Crag; Silent | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sealed Fissure,Sealed Fissure,C?n ti?ng Anh nghi v?n: Fissure; Sealed | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dimmr Deep,Dimmr Deep,C?n ti?ng Anh nghi v?n: Deep; Dimmr | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Solisia Landing,Solisia Landing,C?n ti?ng Anh nghi v?n: Landing; Solisia | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Restoration Materials,Restoration Materials,C?n ti?ng Anh nghi v?n: Materials; Restoration | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
More Voidbane Eldertrees can be restored,Có thể khôi phục thêm Voidbane Eldertrees,C?n ti?ng Anh nghi v?n: Eldertrees; Voidbane | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Voidbane Eldertree cannot be restored in its current state,Voidbane Eldertree hiện không thể khôi phục,C?n ti?ng Anh nghi v?n: Eldertree; Voidbane | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Voidbane Eldertree Restoration conditions not met,Chưa đủ điều kiện khôi phục Voidbane Eldertree,C?n ti?ng Anh nghi v?n: Eldertree; Voidbane | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
No Voidbane Eldertree data,Không có dữ liệu Voidbane Eldertree,C?n ti?ng Anh nghi v?n: Eldertree; Voidbane | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
