en_source,vn_translate,loi_du_doan
Wish Complete,Wish Complete,C?n ti?ng Anh nghi v?n: Complete; Wish | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Awakened Will,Awakened Will,C?n ti?ng Anh nghi v?n: Awakened; Will | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Accelerated Liberation,Accelerated Liberation,C?n ti?ng Anh nghi v?n: Accelerated; Liberation | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Disliked Food,Disliked Food,C?n ti?ng Anh nghi v?n: Disliked; Food | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
About Changli,About Changli,C?n ti?ng Anh nghi v?n: About; Changli | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
About Sanhua,About Sanhua,C?n ti?ng Anh nghi v?n: About; Sanhua | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
About Taoqi,About Taoqi,C?n ti?ng Anh nghi v?n: About; Taoqi | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
About Jiyan,About Jiyan,C?n ti?ng Anh nghi v?n: About; Jiyan | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hit: I,Hit: I,C?n ti?ng Anh nghi v?n: Hit; I | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hit: II,Hit: II,C?n ti?ng Anh nghi v?n: Hit; II | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Enemies Near,Enemies Near,C?n ti?ng Anh nghi v?n: Enemies; Near | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Disliked Food,Disliked Food,C?n ti?ng Anh nghi v?n: Disliked; Food | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
About Jinhsi,About Jinhsi,C?n ti?ng Anh nghi v?n: About; Jinhsi | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
About Jiyan,About Jiyan,C?n ti?ng Anh nghi v?n: About; Jiyan | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
About Sanhua,About Sanhua,C?n ti?ng Anh nghi v?n: About; Sanhua | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
About Jianxin,About Jianxin,C?n ti?ng Anh nghi v?n: About; Jianxin | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
About Chixia,About Chixia,C?n ti?ng Anh nghi v?n: About; Chixia | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Aerial Attack,Aerial Attack,C?n ti?ng Anh nghi v?n: Aerial; Attack | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
