en_source,vn_translate,loi_du_doan
Alessio,Alessio,C?n ti?ng Anh nghi v?n: Alessio | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Preparations,Preparations,C?n ti?ng Anh nghi v?n: Preparations | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Zeon,Zeon,C?n ti?ng Anh nghi v?n: Zeon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ivanck,Ivanck,C?n ti?ng Anh nghi v?n: Ivanck | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Licastro,Licastro,C?n ti?ng Anh nghi v?n: Licastro | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Loki,Loki,C?n ti?ng Anh nghi v?n: Loki | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aldo,Aldo,C?n ti?ng Anh nghi v?n: Aldo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Alanda,Alanda,C?n ti?ng Anh nghi v?n: Alanda | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Brutus,Brutus,C?n ti?ng Anh nghi v?n: Brutus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lele,Lele,C?n ti?ng Anh nghi v?n: Lele | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Bronny,Bronny,C?n ti?ng Anh nghi v?n: Bronny | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Pikjo,Pikjo,C?n ti?ng Anh nghi v?n: Pikjo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Plys,Plys,C?n ti?ng Anh nghi v?n: Plys | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Play,Play,C?n ti?ng Anh nghi v?n: Play | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Chainsaw,Chainsaw,C?n ti?ng Anh nghi v?n: Chainsaw | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Dieter,Dieter,C?n ti?ng Anh nghi v?n: Dieter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Taiming,Taiming,C?n ti?ng Anh nghi v?n: Taiming | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yinxing,Yinxing,C?n ti?ng Anh nghi v?n: Yinxing | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Thorns,Thorns,C?n ti?ng Anh nghi v?n: Thorns | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Pelm,Pelm,C?n ti?ng Anh nghi v?n: Pelm | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Torro,Torro,C?n ti?ng Anh nghi v?n: Torro | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Robbie,Robbie,C?n ti?ng Anh nghi v?n: Robbie | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
placeholder,placeholder,C?n ti?ng Anh nghi v?n: placeholder | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
placeholder,placeholder,C?n ti?ng Anh nghi v?n: placeholder | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
