en_source,vn_translate,loi_du_doan
Titanium Mackerel,Titanium Mackerel,C?n ti?ng Anh nghi v?n: Mackerel; Titanium | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Bubble Snail,Bubble Snail,C?n ti?ng Anh nghi v?n: Bubble; Snail | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Legilimens Shrimp,Legilimens Shrimp,C?n ti?ng Anh nghi v?n: Legilimens; Shrimp | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Astrite Crab,Astrite Crab,C?n ti?ng Anh nghi v?n: Astrite; Crab | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tripod Fish,Tripod Fish,C?n ti?ng Anh nghi v?n: Fish; Tripod | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Rainbow Dolphinfish,Rainbow Dolphinfish,C?n ti?ng Anh nghi v?n: Dolphinfish; Rainbow | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Trombone Ammonoid,Trombone Ammonoid,C?n ti?ng Anh nghi v?n: Ammonoid; Trombone | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Aureo Shark,Aureo Shark,C?n ti?ng Anh nghi v?n: Aureo; Shark | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Pink Hallowfin,Pink Hallowfin,C?n ti?ng Anh nghi v?n: Hallowfin; Pink | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Pelagic Wyrm,Pelagic Wyrm,C?n ti?ng Anh nghi v?n: Pelagic; Wyrm | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Draco Cobia,Draco Cobia,C?n ti?ng Anh nghi v?n: Cobia; Draco | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Overlord Squid,Overlord Squid,C?n ti?ng Anh nghi v?n: Overlord; Squid | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Bogie Shrimp,Bogie Shrimp,C?n ti?ng Anh nghi v?n: Bogie; Shrimp | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mutant: Airsailer,Mutant: Airsailer,C?n ti?ng Anh nghi v?n: Airsailer; Mutant | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mutant: Salp,Mutant: Salp,C?n ti?ng Anh nghi v?n: Mutant; Salp | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mutant: Gooberstar,Mutant: Gooberstar,C?n ti?ng Anh nghi v?n: Gooberstar; Mutant | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mutant: Pricklecrab,Mutant: Pricklecrab,C?n ti?ng Anh nghi v?n: Mutant; Pricklecrab | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mutant: Clione,Mutant: Clione,C?n ti?ng Anh nghi v?n: Clione; Mutant | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mutant: Sunfish,Mutant: Sunfish,C?n ti?ng Anh nghi v?n: Mutant; Sunfish | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mutant: Lancetfish,Mutant: Lancetfish,C?n ti?ng Anh nghi v?n: Lancetfish; Mutant | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mutant: Reinfish,Mutant: Reinfish,C?n ti?ng Anh nghi v?n: Mutant; Reinfish | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Advanced Hull,Advanced Hull,C?n ti?ng Anh nghi v?n: Advanced; Hull | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reaction Thruster,Reaction Thruster,C?n ti?ng Anh nghi v?n: Reaction; Thruster | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hydraulic Capstan,Hydraulic Capstan,C?n ti?ng Anh nghi v?n: Capstan; Hydraulic | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
