en_source,vn_translate,loi_du_doan
Supernova Launch Array III,Supernova Launch Array III,C?n ti?ng Anh nghi v?n: Array; III; Launch; Supernova | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Ancient Star Summoner I,Ancient Star Summoner I,C?n ti?ng Anh nghi v?n: Ancient; I; Star; Summoner | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Ancient Star Summoner II,Ancient Star Summoner II,C?n ti?ng Anh nghi v?n: Ancient; II; Star; Summoner | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Ancient Star Summoner III,Ancient Star Summoner III,C?n ti?ng Anh nghi v?n: Ancient; III; Star; Summoner | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Silent Crag Treasure Spot,Silent Crag Treasure Spot,C?n ti?ng Anh nghi v?n: Crag; Silent; Spot; Treasure | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Silent Crag Light Builder Challenge,Thử thách Light Builder tại Silent Crag,C?n ti?ng Anh nghi v?n: Builder; Crag; Light; Silent | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sealed Fissure Treasure Spot,Sealed Fissure Treasure Spot,C?n ti?ng Anh nghi v?n: Fissure; Sealed; Spot; Treasure | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sealed Fissure Light Builder Challenge,Thử thách Light Builder tại Sealed Fissure,C?n ti?ng Anh nghi v?n: Builder; Fissure; Light; Sealed | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dimmr Deep Treasure Spot,Dimmr Deep Treasure Spot,C?n ti?ng Anh nghi v?n: Deep; Dimmr; Spot; Treasure | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dimmr Deep Light Builder Challenge,Thử thách Light Builder tại Dimmr Deep,C?n ti?ng Anh nghi v?n: Builder; Deep; Dimmr; Light | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Solisia Landing Treasure Spot,Solisia Landing Treasure Spot,C?n ti?ng Anh nghi v?n: Landing; Solisia; Spot; Treasure | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Solisia Landing Light Builder Challenge,Thử thách Light Builder tại Solisia Landing,C?n ti?ng Anh nghi v?n: Builder; Landing; Light; Solisia | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Endstate Matrix: Doomsday Cycle,Endstate Matrix: Doomsday Cycle,C?n ti?ng Anh nghi v?n: Cycle; Doomsday; Endstate; Matrix | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Endstate Matrix: Doomsday Cycle,Endstate Matrix: Doomsday Cycle,C?n ti?ng Anh nghi v?n: Cycle; Doomsday; Endstate; Matrix | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Blade Rinsed, Edge Honed","Blade Rinsed, Edge Honed",C?n ti?ng Anh nghi v?n: Blade; Edge; Honed; Rinsed | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Sleeves Stirred, Mist Arising","Sleeves Stirred, Mist Arising",C?n ti?ng Anh nghi v?n: Arising; Mist; Sleeves; Stirred | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
One-way Road Ahead,One-way Road Ahead,C?n ti?ng Anh nghi v?n: Ahead; One; Road; way | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Wild Boar Forest Rampage,Wild Boar Forest Rampage,C?n ti?ng Anh nghi v?n: Boar; Forest; Rampage; Wild | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Though I Can't Fly,Though I Can't Fly,C?n ti?ng Anh nghi v?n: Can't; Fly; I; Though | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Clang Bang Ice Crusher,Clang Bang Ice Crusher,C?n ti?ng Anh nghi v?n: Bang; Clang; Crusher; Ice | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Midsummer Night's Ignis,A Midsummer Night's Ignis,C?n ti?ng Anh nghi v?n: A; Ignis; Midsummer; Night's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Many Foes, One Strike","Many Foes, One Strike",C?n ti?ng Anh nghi v?n: Foes; Many; One; Strike | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Spark Passed On,A Spark Passed On,C?n ti?ng Anh nghi v?n: A; On; Passed; Spark | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Rock-Paper-Scissors Pro,Rock-Paper-Scissors Pro,C?n ti?ng Anh nghi v?n: Paper; Pro; Rock; Scissors | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Every Ordinary Day We've Shared,Every Ordinary Ngày We've Shared,C?n ti?ng Anh nghi v?n: Every; Ordinary; Shared; We've | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Urban Legends Never Die,Urban Legends Never Die,C?n ti?ng Anh nghi v?n: Die; Legends; Never; Urban | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Paper Soliskin: Sweet Misha,Paper Soliskin: Sweet Misha,C?n ti?ng Anh nghi v?n: Misha; Paper; Soliskin; Sweet | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Beam Toward Reality,A Beam Toward Reality,C?n ti?ng Anh nghi v?n: A; Beam; Reality; Toward | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Thinning Hair, Greater Power","Thinning Hair, Greater Power",C?n ti?ng Anh nghi v?n: Greater; Hair; Power; Thinning | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Shine On You Crazy Opal,Shine On Bạn Crazy Opal,C?n ti?ng Anh nghi v?n: Crazy; On; Opal; Shine | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Little Peaceful Life You Created,Little Peaceful Life Bạn Created,C?n ti?ng Anh nghi v?n: Created; Life; Little; Peaceful | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Hope Lies Beyond Despair,Hope Lies Beyond Despair,C?n ti?ng Anh nghi v?n: Beyond; Despair; Hope; Lies | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Recoil: Bell-Borne Geochelone,Recoil: Bell-Borne Geochelone,C?n ti?ng Anh nghi v?n: Bell; Borne; Geochelone; Recoil | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"One Punch, Problem Solved","One Punch, Problem Solved",C?n ti?ng Anh nghi v?n: One; Problem; Punch; Solved | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Five Seconds Isn't Enough,Five Seconds Isn't Enough,C?n ti?ng Anh nghi v?n: Enough; Five; Isn't; Seconds | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
