en_source,vn_translate,loi_du_doan
Adentus,Adentus,C?n ti?ng Anh nghi v?n: Adentus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Jalette,Jalette,C?n ti?ng Anh nghi v?n: Jalette | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Chevi,Chevi,C?n ti?ng Anh nghi v?n: Chevi | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Raisa,Raisa,C?n ti?ng Anh nghi v?n: Raisa | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Francesca,Francesca,C?n ti?ng Anh nghi v?n: Francesca | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Dungeon 88,Dungeon 88,C?n ti?ng Anh nghi v?n: Dungeon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Dianran,Dianran,C?n ti?ng Anh nghi v?n: Dianran | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Dorothy,Dorothy,C?n ti?ng Anh nghi v?n: Dorothy | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Tinghang,Tinghang,C?n ti?ng Anh nghi v?n: Tinghang | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Onyeka,Onyeka,C?n ti?ng Anh nghi v?n: Onyeka | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Haden,Haden,C?n ti?ng Anh nghi v?n: Haden | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Luther,Luther,C?n ti?ng Anh nghi v?n: Luther | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Professor Bohr,Giáo sư Bohr,C?n ti?ng Anh nghi v?n: Bohr | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Hebenon,Hebenon,C?n ti?ng Anh nghi v?n: Hebenon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Raji,Raji,C?n ti?ng Anh nghi v?n: Raji | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Caltore,Caltore,C?n ti?ng Anh nghi v?n: Caltore | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Sodrigo,Sodrigo,C?n ti?ng Anh nghi v?n: Sodrigo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
placeholder,placeholder,C?n ti?ng Anh nghi v?n: placeholder | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Gianluca,Gianluca,C?n ti?ng Anh nghi v?n: Gianluca | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Jellyrose,Jellyrose,C?n ti?ng Anh nghi v?n: Jellyrose | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yuhe,Yuhe,C?n ti?ng Anh nghi v?n: Yuhe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Phineas,Phineas,C?n ti?ng Anh nghi v?n: Phineas | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Sword Acorus,Kiếm Acorus,C?n ti?ng Anh nghi v?n: Acorus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Tricolor,Tricolor,C?n ti?ng Anh nghi v?n: Tricolor | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Darius,Darius,C?n ti?ng Anh nghi v?n: Darius | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Nicole,Nicole,C?n ti?ng Anh nghi v?n: Nicole | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Berson,Berson,C?n ti?ng Anh nghi v?n: Berson | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
placeholder,placeholder,C?n ti?ng Anh nghi v?n: placeholder | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Qingshu,Qingshu,C?n ti?ng Anh nghi v?n: Qingshu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Continue Exploration,Tiếp tục Exploration,C?n ti?ng Anh nghi v?n: Exploration | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Malik,Malik,C?n ti?ng Anh nghi v?n: Malik | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"""Old Captain"" Davide","""Thuyền Trưởng Già"" Davide",C?n ti?ng Anh nghi v?n: Davide | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Illusia,Illusia,C?n ti?ng Anh nghi v?n: Illusia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Missoula,Missoula,C?n ti?ng Anh nghi v?n: Missoula | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Obelisk,Obelisk,C?n ti?ng Anh nghi v?n: Obelisk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Memo,Memo,C?n ti?ng Anh nghi v?n: Memo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lemongrass,Lemongrass,C?n ti?ng Anh nghi v?n: Lemongrass | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Gondola Market,Chợ Gondola,C?n ti?ng Anh nghi v?n: Gondola | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Sagittario,Sagittario,C?n ti?ng Anh nghi v?n: Sagittario | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Bella,Bella,C?n ti?ng Anh nghi v?n: Bella | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
