en_source,vn_translate,loi_du_doan
Ancient Inscriptions,Ancient Inscriptions,C?n ti?ng Anh nghi v?n: Ancient; Inscriptions | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Wuthering Waves,Wuthering Waves,C?n ti?ng Anh nghi v?n: Waves; Wuthering | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Stella Lupa,Stella Lupa,C?n ti?ng Anh nghi v?n: Lupa; Stella | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Assured Victory,Assured Victory,C?n ti?ng Anh nghi v?n: Assured; Victory | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leonidas Hotel,Leonidas Hotel,C?n ti?ng Anh nghi v?n: Hotel; Leonidas | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Central Hub,Central Hub,C?n ti?ng Anh nghi v?n: Central; Hub | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Her Oath,Her Oath,C?n ti?ng Anh nghi v?n: Her; Oath | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Her Wishes,Her Wishes,C?n ti?ng Anh nghi v?n: Her; Wishes | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Daily Scoop,Daily Scoop,C?n ti?ng Anh nghi v?n: Daily; Scoop | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Work Log 1,Work Log 1,C?n ti?ng Anh nghi v?n: Log; Work | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Work Log 2,Work Log 2,C?n ti?ng Anh nghi v?n: Log; Work | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Work Log 3,Work Log 3,C?n ti?ng Anh nghi v?n: Log; Work | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Blade of Glory: Augusta,Kiếm Glory: Augusta,C?n ti?ng Anh nghi v?n: Augusta; Glory | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Acis's letter,Acis's letter,C?n ti?ng Anh nghi v?n: Acis's; letter | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Letter from Ephor's Palace,Lá Thư Từ Ephor's Palace,C?n ti?ng Anh nghi v?n: Ephor's; Palace | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Act X,Act X,C?n ti?ng Anh nghi v?n: Act; X | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Act XI,Act XI,C?n ti?ng Anh nghi v?n: Act; XI | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Act XII,Act XII,C?n ti?ng Anh nghi v?n: Act; XII | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Stele Inscription,Stele Inscription,C?n ti?ng Anh nghi v?n: Inscription; Stele | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Compilation of Side Quests,Tổng Hợp Side Quests,C?n ti?ng Anh nghi v?n: Quests; Side | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Compilation of Exploration Quests,Tổng Hợp Exploration Quests,C?n ti?ng Anh nghi v?n: Exploration; Quests | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Act I,Act I,C?n ti?ng Anh nghi v?n: Act; I | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Act II,Act II,C?n ti?ng Anh nghi v?n: Act; II | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reconstruction Project,Reconstruction Project,C?n ti?ng Anh nghi v?n: Project; Reconstruction | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Expedition Project,Expedition Project,C?n ti?ng Anh nghi v?n: Expedition; Project | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Into the Land of Paradox,Đến Land Paradox,C?n ti?ng Anh nghi v?n: Land; Paradox | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Unnamed Sender,Unnamed Sender,C?n ti?ng Anh nghi v?n: Sender; Unnamed | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
KU-Raji,KU-Raji,C?n ti?ng Anh nghi v?n: KU; Raji | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lightborne Horizons,Lightborne Horizons,C?n ti?ng Anh nghi v?n: Horizons; Lightborne | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Academy News,Academy News,C?n ti?ng Anh nghi v?n: Academy; News | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Spacetrek Collective,Spacetrek Collective,C?n ti?ng Anh nghi v?n: Collective; Spacetrek | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Unsettling Device,Unsettling Device,C?n ti?ng Anh nghi v?n: Device; Unsettling | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Startorch Academy,Startorch Academy,C?n ti?ng Anh nghi v?n: Academy; Startorch | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Near Sundermere,Near Sundermere,C?n ti?ng Anh nghi v?n: Near; Sundermere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Act III,Act III,C?n ti?ng Anh nghi v?n: Act; III | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Act IV,Act IV,C?n ti?ng Anh nghi v?n: Act; IV | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Novelty: Uses,Novelty: Uses,C?n ti?ng Anh nghi v?n: Novelty; Uses | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Battle Stage,Battle Stage,C?n ti?ng Anh nghi v?n: Battle; Stage | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Glory Unwept,Glory Unwept,C?n ti?ng Anh nghi v?n: Glory; Unwept | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Complete Dance of Qingloong - Normal Mode,Hoàn thành Dance Qingloong - Chế độ Thường,C?n ti?ng Anh nghi v?n: Dance; Qingloong | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Complete Dance of Qingloong - Hard Mode,Hoàn thành Dance Qingloong - Chế độ Khó,C?n ti?ng Anh nghi v?n: Dance; Qingloong | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sanguis Plateaus,Sanguis Plateaus,C?n ti?ng Anh nghi v?n: Plateaus; Sanguis | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Honami City,Honami City,C?n ti?ng Anh nghi v?n: City; Honami | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Use Instant Veto,Sử dụng Instant Veto,C?n ti?ng Anh nghi v?n: Instant; Veto | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Use Instant Veto,Sử dụng Instant Veto,C?n ti?ng Anh nghi v?n: Instant; Veto | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Use Instant Veto,Sử dụng Instant Veto,C?n ti?ng Anh nghi v?n: Instant; Veto | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sharp Instinct,Sharp Instinct,C?n ti?ng Anh nghi v?n: Instinct; Sharp | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mind Scalpel,Mind Scalpel,C?n ti?ng Anh nghi v?n: Mind; Scalpel | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Instant Veto,Instant Veto,C?n ti?ng Anh nghi v?n: Instant; Veto | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sanguis Plateaus,Sanguis Plateaus,C?n ti?ng Anh nghi v?n: Plateaus; Sanguis | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Solis Tavern,Solis Tavern,C?n ti?ng Anh nghi v?n: Solis; Tavern | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Second Stage,Second Stage,C?n ti?ng Anh nghi v?n: Second; Stage | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Third Stage,Third Stage,C?n ti?ng Anh nghi v?n: Stage; Third | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Fourth Stage,Fourth Stage,C?n ti?ng Anh nghi v?n: Fourth; Stage | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Fifth Stage,Fifth Stage,C?n ti?ng Anh nghi v?n: Fifth; Stage | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Equip 1 3-Star or above Weapon,Equip Vũ Khí 3-Star trở lên,C?n ti?ng Anh nghi v?n: Equip; Star | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Cook 2 Dishes,Cook 2 Dishes,C?n ti?ng Anh nghi v?n: Cook; Dishes | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
WHICH MEANS,WHICH MEANS,C?n ti?ng Anh nghi v?n: MEANS; WHICH | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
GRAPPLE POINT,GRAPPLE POINT,C?n ti?ng Anh nghi v?n: GRAPPLE; POINT | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
