en_source,vn_translate,loi_du_doan
KU-Repair seems to have run into some trouble…,KU-Repair dường như gặp chút trục trặc…,C?n ti?ng Anh nghi v?n: KU; Repair | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tactic Points,Tactic Points,C?n ti?ng Anh nghi v?n: Points; Tactic | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Data Rewards,Data Rewards,C?n ti?ng Anh nghi v?n: Data; Rewards | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Thousand Roars,Thousand Roars,C?n ti?ng Anh nghi v?n: Roars; Thousand | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Feather Fall,Feather Fall,C?n ti?ng Anh nghi v?n: Fall; Feather | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Current Flow,Current Flow,C?n ti?ng Anh nghi v?n: Current; Flow | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dodge Boost,Dodge Boost,C?n ti?ng Anh nghi v?n: Boost; Dodge | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Counterattack Boost,Counterattack Boost,C?n ti?ng Anh nghi v?n: Boost; Counterattack | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Precision Strike,Precision Strike,C?n ti?ng Anh nghi v?n: Precision; Strike | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Focused Strike,Focused Strike,C?n ti?ng Anh nghi v?n: Focused; Strike | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Resonating Harmony,Resonating Harmony,C?n ti?ng Anh nghi v?n: Harmony; Resonating | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Triggered Healing,Triggered Healing,C?n ti?ng Anh nghi v?n: Healing; Triggered | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Shield Wall,Shield Wall,C?n ti?ng Anh nghi v?n: Shield; Wall | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Emergency Treatment,Emergency Treatment,C?n ti?ng Anh nghi v?n: Emergency; Treatment | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Clear Nightmare Revisits Difficulty I with 1400 points,Hoàn Thành Độ Khó I Cơn Nightmare Tái Hiện với 1400 Điểm,C?n ti?ng Anh nghi v?n: I; Nightmare | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Clear Nightmare Revisits Difficulty II with 1400 points,Hoàn Thành Độ Khó II Cơn Nightmare Tái Hiện với 1400 Điểm,C?n ti?ng Anh nghi v?n: II; Nightmare | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Monster Points,Monster Points,C?n ti?ng Anh nghi v?n: Monster; Points | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
