en_source,vn_translate,loi_du_doan
Miranda,Miranda,C?n ti?ng Anh nghi v?n: Miranda | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yamazaki,Yamazaki,C?n ti?ng Anh nghi v?n: Yamazaki | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Shigeru,Shigeru,C?n ti?ng Anh nghi v?n: Shigeru | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ishida,Ishida,C?n ti?ng Anh nghi v?n: Ishida | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Drvar,Drvar,C?n ti?ng Anh nghi v?n: Drvar | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Chuck,Chuck,C?n ti?ng Anh nghi v?n: Chuck | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ehlich,Ehlich,C?n ti?ng Anh nghi v?n: Ehlich | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ziling,Ziling,C?n ti?ng Anh nghi v?n: Ziling | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Bulletin,Bulletin,C?n ti?ng Anh nghi v?n: Bulletin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Kanon,Kanon,C?n ti?ng Anh nghi v?n: Kanon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Kazuha,Kazuha,C?n ti?ng Anh nghi v?n: Kazuha | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Jianghui,Jianghui,C?n ti?ng Anh nghi v?n: Jianghui | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ruka,Ruka,C?n ti?ng Anh nghi v?n: Ruka | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Arisa,Arisa,C?n ti?ng Anh nghi v?n: Arisa | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Stadter,Stadter,C?n ti?ng Anh nghi v?n: Stadter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lilian,Lilian,C?n ti?ng Anh nghi v?n: Lilian | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Hermann,Hermann,C?n ti?ng Anh nghi v?n: Hermann | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Zel,Zel,C?n ti?ng Anh nghi v?n: Zel | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Finsen,Finsen,C?n ti?ng Anh nghi v?n: Finsen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Rutherford,Rutherford,C?n ti?ng Anh nghi v?n: Rutherford | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Takuma,Takuma,C?n ti?ng Anh nghi v?n: Takuma | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Kenichi,Kenichi,C?n ti?ng Anh nghi v?n: Kenichi | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ronan,Ronan,C?n ti?ng Anh nghi v?n: Ronan | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aniko,Aniko,C?n ti?ng Anh nghi v?n: Aniko | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Milo,Milo,C?n ti?ng Anh nghi v?n: Milo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Alkain,Alkain,C?n ti?ng Anh nghi v?n: Alkain | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Nishan,Nishan,C?n ti?ng Anh nghi v?n: Nishan | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Norbert,Norbert,C?n ti?ng Anh nghi v?n: Norbert | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Macknay,Macknay,C?n ti?ng Anh nghi v?n: Macknay | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
