en_source,vn_translate,loi_du_doan
Interlude: The Starflower Brooch,Interlude: The Starflower Brooch,C?n ti?ng Anh nghi v?n: Brooch; Interlude; Starflower | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Interlude: The Patient's Fate,Interlude: The Patient's Fate,C?n ti?ng Anh nghi v?n: Fate; Interlude; Patient's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Interlude: The Enigmatic Artist,Interlude: The Enigmatic Artist,C?n ti?ng Anh nghi v?n: Artist; Enigmatic; Interlude | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Interlude: The Cancelled Performance,Interlude: The Cancelled Performance,C?n ti?ng Anh nghi v?n: Cancelled; Interlude; Performance | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Encounter: The Truth Bench,Encounter: The Truth Bench,C?n ti?ng Anh nghi v?n: Bench; Encounter; Truth | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Encounter: The Weeping Band,Encounter: The Weeping Band,C?n ti?ng Anh nghi v?n: Band; Encounter; Weeping | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Encounter: Solaris Retail I,Encounter: Solaris Retail I,C?n ti?ng Anh nghi v?n: Encounter; I; Retail | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Encounter: Solaris Retail II,Encounter: Solaris Retail II,C?n ti?ng Anh nghi v?n: Encounter; II; Retail | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Encounter: Solaris Retail III,Encounter: Solaris Retail III,C?n ti?ng Anh nghi v?n: Encounter; III; Retail | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Desolate ruins, roaming Echoes, this is a post-humanity paradise—","Desolate ruins, roaming Echoes, đây là thiên đường hậu nhân loại—",C?n ti?ng Anh nghi v?n: Desolate; roaming; ruins | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Doubled Pawns Matrix: Pilot,Doubled Pawns Matrix: Phi Công,C?n ti?ng Anh nghi v?n: Doubled; Matrix; Pawns | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Doubled Pawns Matrix: Pilot,Doubled Pawns Matrix: Phi Công,C?n ti?ng Anh nghi v?n: Doubled; Matrix; Pawns | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Orbit Valley Pass - South,Orbit Valley Pass - Nam,C?n ti?ng Anh nghi v?n: Orbit; Pass; Valley | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Tales of the Isles: Latest Collection,Tales of the Isles: Bộ Sưu Tập Mới Nhất,C?n ti?ng Anh nghi v?n: Isles; of; Tales | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Opposing Colors: Easy,The Opposing Colors: Easy,C?n ti?ng Anh nghi v?n: Colors; Easy; Opposing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Starward Greatsword: Easy,The Starward Greatsword: Easy,C?n ti?ng Anh nghi v?n: Easy; Greatsword; Starward | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Trapped Stars: Easy,The Trapped Stars: Easy,C?n ti?ng Anh nghi v?n: Easy; Stars; Trapped | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Yearning Heart: Easy,The Yearning Heart: Easy,C?n ti?ng Anh nghi v?n: Easy; Heart; Yearning | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Masked Face: Easy,The Masked Face: Easy,C?n ti?ng Anh nghi v?n: Easy; Face; Masked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Sealed Gate: Easy,The Sealed Gate: Easy,C?n ti?ng Anh nghi v?n: Easy; Gate; Sealed | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
