en_source,vn_translate,loi_du_doan
Midnight Wonder Cup Noodles Recipe,Midnight Wonder Cup Noodles Recipe,C?n ti?ng Anh nghi v?n: Cup; Midnight; Noodles; Recipe; Wonder | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Theme Park Annual Pass II,Theme Park Annual Pass II,C?n ti?ng Anh nghi v?n: Annual; II; Park; Pass; Theme | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Theme Park Annual Pass III,Theme Park Annual Pass III,C?n ti?ng Anh nghi v?n: Annual; III; Park; Pass; Theme | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Ultra Frequency Conversion Solvent I,Ultra Frequency Conversion Solvent I,C?n ti?ng Anh nghi v?n: Conversion; Frequency; I; Solvent; Ultra | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Plushie Village Restoration Log: I,Plushie Village Restoration Log: I,C?n ti?ng Anh nghi v?n: I; Log; Plushie; Restoration; Village | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Plushie Village Restoration Log: Final,Plushie Village Restoration Log: Final,C?n ti?ng Anh nghi v?n: Final; Log; Plushie; Restoration; Village | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Plushie Village Restoration Log: II,Plushie Village Restoration Log: II,C?n ti?ng Anh nghi v?n: II; Log; Plushie; Restoration; Village | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Plushie Village Restoration Log: III,Plushie Village Restoration Log: III,C?n ti?ng Anh nghi v?n: III; Log; Plushie; Restoration; Village | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Bell-Borne Geochelone - Early Access,Bell-Borne Geochelone - Early Access,C?n ti?ng Anh nghi v?n: Access; Bell; Borne; Early; Geochelone | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Dragon of Dirge - Early Access,Dragon of Dirge - Early Access,C?n ti?ng Anh nghi v?n: Access; Dirge; Dragon; Early; of | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Theme Park Annual Pass I,Theme Park Annual Pass I,C?n ti?ng Anh nghi v?n: Annual; I; Park; Pass; Theme | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Ultra Frequency Conversion Solvent II,Ultra Frequency Conversion Solvent II,C?n ti?ng Anh nghi v?n: Conversion; Frequency; II; Solvent; Ultra | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Ultra Frequency Conversion Solvent III,Ultra Frequency Conversion Solvent III,C?n ti?ng Anh nghi v?n: Conversion; Frequency; III; Solvent; Ultra | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Ultra Frequency Conversion Solvent VII,Ultra Frequency Conversion Solvent VII,C?n ti?ng Anh nghi v?n: Conversion; Frequency; Solvent; Ultra; VII | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Stuffed Cat Paw Gummy Candy,Stuffed Cat Paw Gummy Candy,C?n ti?ng Anh nghi v?n: Candy; Cat; Gummy; Paw; Stuffed | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Matcha Ice Cream Gift Box,Matcha Ice Cream Gift Box,C?n ti?ng Anh nghi v?n: Box; Cream; Gift; Ice; Matcha | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Souvenir: Secret Edition Namipon Plushie,Souvenir: Secret Edition Namipon Plushie,C?n ti?ng Anh nghi v?n: Edition; Namipon; Plushie; Secret; Souvenir | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Spicy Crispy Chicken Burger Recipe,Spicy Crispy Chicken Burger Recipe,C?n ti?ng Anh nghi v?n: Burger; Chicken; Crispy; Recipe; Spicy | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Fleeting Snowfluff Fan Meeting Poster,Fleeting Snowfluff Fan Meeting Poster,C?n ti?ng Anh nghi v?n: Fan; Fleeting; Meeting; Poster; Snowfluff | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Ability to manipulate airflow,Ability to manipulate airflow,C?n ti?ng Anh nghi v?n: Ability; airflow; manipulate; to | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Ability to bind photons,Ability to bind photons,C?n ti?ng Anh nghi v?n: Ability; bind; photons; to | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Ability to annihilate matter,Ability to annihilate matter,C?n ti?ng Anh nghi v?n: Ability; annihilate; matter; to | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Lab Report for XXX,Lab Report for XXX,C?n ti?ng Anh nghi v?n: for; Lab; Report; XXX | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Recipe: Compressed Food Bar,Recipe: Compressed Food Bar,C?n ti?ng Anh nghi v?n: Bar; Compressed; Food; Recipe | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
Development material for Wutrelic,Development material for Wutrelic,C?n ti?ng Anh nghi v?n: Development; for; material; Wutrelic | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 25.0
