en_source,vn_translate,loi_du_doan
The First Solistree,The First Solistree,C?n ti?ng Anh nghi v?n: First; Solistree | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
A Soliskin and Its Mysterious Friend,Một Mảnh Da Mặt Trời và Người Mysterious Friend,C?n ti?ng Anh nghi v?n: Friend; Mysterious | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
Next Stop: Rinascita,Next Stop: Rinascita,C?n ti?ng Anh nghi v?n: Next; Stop | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
If On a Rainy Night a Family,Nếu Một Night Rainy Có Một Gia Đình,C?n ti?ng Anh nghi v?n: Night; Rainy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
Co-op Event,Co-op Event,C?n ti?ng Anh nghi v?n: Event; op | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
Search for It! Bits of Lahai-Roi,Search! Những Mảnh Ghép Của Lahai-Roi,C?n ti?ng Anh nghi v?n: Lahai; Search | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
Send the photo,Send the photo,C?n ti?ng Anh nghi v?n: photo; Send | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
(Take the painting),(Take the painting),C?n ti?ng Anh nghi v?n: painting; Take | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
Damn it… why won't this bleeding stop…,Damn it… sao máu vẫn không ngừng chảy…,C?n ti?ng Anh nghi v?n: Damn; it | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
Sorry… I just wanted to see what makes Synchronists different…,Sorry… tôi chỉ muốn xem điều gì khiến Synchronists khác biệt…,C?n ti?ng Anh nghi v?n: Sorry; Synchronists | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
Sorry… I just wanted to see what makes Synchronists different…,Sorry… tôi chỉ muốn xem điều gì khiến Synchronists khác biệt…,C?n ti?ng Anh nghi v?n: Sorry; Synchronists | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
Echo Challenge: Illusion,Echo Challenge: Illusion,C?n ti?ng Anh nghi v?n: Challenge; Illusion | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
Challenge: Phase Ascension I,Challenge: Thăng Tiến Pha I,C?n ti?ng Anh nghi v?n: Challenge; I | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
The False Sovereign,The False Sovereign,C?n ti?ng Anh nghi v?n: False; Sovereign | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
"Enter ""The Finale""","Enter ""The Finale""",C?n ti?ng Anh nghi v?n: Enter; Finale | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
Echo Challenge: Gulpuff,Echo Challenge: Gulpuff,C?n ti?ng Anh nghi v?n: Challenge; Gulpuff | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 15.67
