en_source,vn_translate,loi_du_doan
Xiangli Yao,Xiangli Yao,C?n ti?ng Anh nghi v?n: Xiangli; Yao | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Cryptic Exile,Cryptic Exile,C?n ti?ng Anh nghi v?n: Cryptic; Exile | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Chatty Exile,Chatty Exile,C?n ti?ng Anh nghi v?n: Chatty; Exile | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Candid Exile,Candid Exile,C?n ti?ng Anh nghi v?n: Candid; Exile | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Candid ""Exile""","Candid ""Exile""",C?n ti?ng Anh nghi v?n: Candid; Exile | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Cryptic ""Exile""","Cryptic ""Exile""",C?n ti?ng Anh nghi v?n: Cryptic; Exile | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weary Exile,Weary Exile,C?n ti?ng Anh nghi v?n: Exile; Weary | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Resting ""Exile""","Resting ""Exile""",C?n ti?ng Anh nghi v?n: Exile; Resting | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
"Focused ""Exile""","Focused ""Exile""",C?n ti?ng Anh nghi v?n: Exile; Focused | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Recording Playback,Recording Playback,C?n ti?ng Anh nghi v?n: Playback; Recording | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Xiang-LEE,Xiang-LEE,C?n ti?ng Anh nghi v?n: LEE; Xiang | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Cosmos & Cloudy,Cosmos & Cloudy,C?n ti?ng Anh nghi v?n: Cloudy; Cosmos | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Serious Child,Serious Child,C?n ti?ng Anh nghi v?n: Child; Serious | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Naughty Child,Naughty Child,C?n ti?ng Anh nghi v?n: Child; Naughty | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Skeptical Child,Skeptical Child,C?n ti?ng Anh nghi v?n: Child; Skeptical | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Shy Girl,Shy Girl,C?n ti?ng Anh nghi v?n: Girl; Shy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tick Tack,Tick Tack,C?n ti?ng Anh nghi v?n: Tack; Tick | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Encore & Ying,Encore & Ying,C?n ti?ng Anh nghi v?n: Encore; Ying | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
