en_source,vn_translate,loi_du_doan
Tacet Discord - Murmur,Discord - Murmur,C?n ti?ng Anh nghi v?n: Discord; Murmur | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Artifian,Discord - Artifian,C?n ti?ng Anh nghi v?n: Artifian; Discord | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Vanguard Junrock,Vanguard Junrock,C?n ti?ng Anh nghi v?n: Junrock; Vanguard | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Calamon,Discord - Calamon,C?n ti?ng Anh nghi v?n: Calamon; Discord | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Fission Junrock,Fission Junrock,C?n ti?ng Anh nghi v?n: Fission; Junrock | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Calamon,Discord - Calamon,C?n ti?ng Anh nghi v?n: Calamon; Discord | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Calamon,Discord - Calamon,C?n ti?ng Anh nghi v?n: Calamon; Discord | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Calamon,Discord - Calamon,C?n ti?ng Anh nghi v?n: Calamon; Discord | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Calamon,Discord - Calamon,C?n ti?ng Anh nghi v?n: Calamon; Discord | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Calamon,Discord - Calamon,C?n ti?ng Anh nghi v?n: Calamon; Discord | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Calamon,Discord - Calamon,C?n ti?ng Anh nghi v?n: Calamon; Discord | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Snip Snap,Snip Snap,C?n ti?ng Anh nghi v?n: Snap; Snip | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Murmur,Discord - Murmur,C?n ti?ng Anh nghi v?n: Discord; Murmur | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Zig Zag,Zig Zag,C?n ti?ng Anh nghi v?n: Zag; Zig | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Murmur,Discord - Murmur,C?n ti?ng Anh nghi v?n: Discord; Murmur | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Whiff Whaff,Whiff Whaff,C?n ti?ng Anh nghi v?n: Whaff; Whiff | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Murmur,Discord - Murmur,C?n ti?ng Anh nghi v?n: Discord; Murmur | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tick Tack,Tick Tack,C?n ti?ng Anh nghi v?n: Tack; Tick | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Murmur,Discord - Murmur,C?n ti?ng Anh nghi v?n: Discord; Murmur | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Nacrus,Discord - Nacrus,C?n ti?ng Anh nghi v?n: Discord; Nacrus | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Nacrus,Discord - Nacrus,C?n ti?ng Anh nghi v?n: Discord; Nacrus | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Nacrus,Discord - Nacrus,C?n ti?ng Anh nghi v?n: Discord; Nacrus | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Nacrus,Discord - Nacrus,C?n ti?ng Anh nghi v?n: Discord; Nacrus | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sabyr Boar,Sabyr Boar,C?n ti?ng Anh nghi v?n: Boar; Sabyr | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Baby Roseshroom,Baby Roseshroom,C?n ti?ng Anh nghi v?n: Baby; Roseshroom | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Stonewall Bracer,Stonewall Bracer,C?n ti?ng Anh nghi v?n: Bracer; Stonewall | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Nacrus,Discord - Nacrus,C?n ti?ng Anh nghi v?n: Discord; Nacrus | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
MUTANT ORGANISM,MUTANT ORGANISM,C?n ti?ng Anh nghi v?n: MUTANT; ORGANISM | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tacet Discord - Calamon,Discord - Calamon,C?n ti?ng Anh nghi v?n: Calamon; Discord | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
