en_source,vn_translate,loi_du_doan
Weary Foreseer [Film Producer],Weary Foreseer [Film Producer],C?n ti?ng Anh nghi v?n: Foreseer; Weary | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Rigorous Researcher [Makeup Designer],Rigorous Researcher [Makeup Designer],C?n ti?ng Anh nghi v?n: Researcher; Rigorous | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Serious Administrator [Famous Director],Serious Administrator [Famous Director],C?n ti?ng Anh nghi v?n: Administrator; Serious | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Passionate Researcher [Camera Operator],Passionate Researcher [Camera Operator],C?n ti?ng Anh nghi v?n: Passionate; Researcher | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Timid Girl [D],Timid Girl [D],C?n ti?ng Anh nghi v?n: Girl; Timid | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Masked Hero [Stunt Double],Masked Hero [Stunt Double],C?n ti?ng Anh nghi v?n: Hero; Masked | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Abandoned Shelf [Solaris Retail],Abandoned Shelf [Solaris Retail],C?n ti?ng Anh nghi v?n: Abandoned; Shelf | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talking Mouse [Famous Director],Talking Mouse [Famous Director],C?n ti?ng Anh nghi v?n: Mouse; Talking | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Whispering Painting [Dream Mortician],Whispering Painting [Dream Mortician],C?n ti?ng Anh nghi v?n: Painting; Whispering | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Withered Tree [Humanities Enthusiast],Withered Tree [Humanities Enthusiast],C?n ti?ng Anh nghi v?n: Tree; Withered | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Newborn Tree [Humanities Enthusiast],Newborn Tree [Humanities Enthusiast],C?n ti?ng Anh nghi v?n: Newborn; Tree | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Ciaccona (past),Ciaccona (past),C?n ti?ng Anh nghi v?n: Ciaccona; past | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Blurry Inscriptions,Blurry Inscriptions,C?n ti?ng Anh nghi v?n: Blurry; Inscriptions | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
<i>Manuscripts Excerpt</i>,<i>Manuscripts Excerpt</i>,C?n ti?ng Anh nghi v?n: Excerpt; Manuscripts | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
<i>Cultural Insights</i>,<i>Cultural Insights</i>,C?n ti?ng Anh nghi v?n: Cultural; Insights | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Waterlogged Notes,Waterlogged Notes,C?n ti?ng Anh nghi v?n: Notes; Waterlogged | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Audio Log 1,Audio Log 1,C?n ti?ng Anh nghi v?n: Audio; Log | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Scribbled Notes,Scribbled Notes,C?n ti?ng Anh nghi v?n: Notes; Scribbled | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Audio Log 2,Audio Log 2,C?n ti?ng Anh nghi v?n: Audio; Log | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Audio Log 3,Audio Log 3,C?n ti?ng Anh nghi v?n: Audio; Log | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Audio Log 4,Audio Log 4,C?n ti?ng Anh nghi v?n: Audio; Log | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Ancient Inscriptions,Ancient Inscriptions,C?n ti?ng Anh nghi v?n: Ancient; Inscriptions | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Ciaccona's Letter,Ciaccona's Letter,C?n ti?ng Anh nghi v?n: Ciaccona's; Letter | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Serious Acolyte,Serious Acolyte,C?n ti?ng Anh nghi v?n: Acolyte; Serious | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Aria Mummer,Aria Mummer,C?n ti?ng Anh nghi v?n: Aria; Mummer | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Sorrowful Boy,Sorrowful Boy,C?n ti?ng Anh nghi v?n: Boy; Sorrowful | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Stubborn Girl,Stubborn Girl,C?n ti?ng Anh nghi v?n: Girl; Stubborn | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Battered Gladiator,Battered Gladiator,C?n ti?ng Anh nghi v?n: Battered; Gladiator | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Drunken Man,Drunken Man,C?n ti?ng Anh nghi v?n: Drunken; Man | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Gentle Woman,Gentle Woman,C?n ti?ng Anh nghi v?n: Gentle; Woman | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Timid Acolyte,Timid Acolyte,C?n ti?ng Anh nghi v?n: Acolyte; Timid | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Loud Gladiator,Loud Gladiator,C?n ti?ng Anh nghi v?n: Gladiator; Loud | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Polite Boy,Polite Boy,C?n ti?ng Anh nghi v?n: Boy; Polite | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Naughty Girl,Naughty Girl,C?n ti?ng Anh nghi v?n: Girl; Naughty | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Montelli Member,Montelli Member,C?n ti?ng Anh nghi v?n: Member; Montelli | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Diggy Duggy,Diggy Duggy,C?n ti?ng Anh nghi v?n: Diggy; Duggy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Grieving Acolyte,Grieving Acolyte,C?n ti?ng Anh nghi v?n: Acolyte; Grieving | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Expedition Banner,Expedition Banner,C?n ti?ng Anh nghi v?n: Banner; Expedition | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Faint Traces,Faint Traces,C?n ti?ng Anh nghi v?n: Faint; Traces | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
C-MOSS,C-MOSS,C?n ti?ng Anh nghi v?n: C; MOSS | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Alpha Tidespawn,Alpha Tidespawn,C?n ti?ng Anh nghi v?n: Alpha; Tidespawn | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Scared Girl,Scared Girl,C?n ti?ng Anh nghi v?n: Girl; Scared | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Young Galbrena,Young Galbrena,C?n ti?ng Anh nghi v?n: Galbrena; Young | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Cheering Youth,Cheering Youth,C?n ti?ng Anh nghi v?n: Cheering; Youth | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Impressed Senator,Impressed Senator,C?n ti?ng Anh nghi v?n: Impressed; Senator | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Cartethyia (frequency),Cartethyia (frequency),C?n ti?ng Anh nghi v?n: Cartethyia; frequency | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Praying Villager,Praying Villager,C?n ti?ng Anh nghi v?n: Praying; Villager | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Admiring Villager,Admiring Villager,C?n ti?ng Anh nghi v?n: Admiring; Villager | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Confused Villager,Confused Villager,C?n ti?ng Anh nghi v?n: Confused; Villager | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Deranged Villager,Deranged Villager,C?n ti?ng Anh nghi v?n: Deranged; Villager | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Delirious Villager,Delirious Villager,C?n ti?ng Anh nghi v?n: Delirious; Villager | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Panicked Villager,Panicked Villager,C?n ti?ng Anh nghi v?n: Panicked; Villager | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Fearful Villager,Fearful Villager,C?n ti?ng Anh nghi v?n: Fearful; Villager | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Unyielding Gladiator,Unyielding Gladiator,C?n ti?ng Anh nghi v?n: Gladiator; Unyielding | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Wounded Gladiator,Wounded Gladiator,C?n ti?ng Anh nghi v?n: Gladiator; Wounded | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
<i>Unnamed Log</i>,<i>Unnamed Log</i>,C?n ti?ng Anh nghi v?n: Log; Unnamed | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
<i>Abandoned Log</i>,<i>Abandoned Log</i>,C?n ti?ng Anh nghi v?n: Abandoned; Log | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Doubtful Student,Doubtful Student,C?n ti?ng Anh nghi v?n: Doubtful; Student | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Worried Student,Worried Student,C?n ti?ng Anh nghi v?n: Student; Worried | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Little Robot,Little Robot,C?n ti?ng Anh nghi v?n: Little; Robot | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Beep Bop,Beep Bop,C?n ti?ng Anh nghi v?n: Beep; Bop | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Grand Commander,Grand Commander,C?n ti?ng Anh nghi v?n: Commander; Grand | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Excited Student,Excited Student,C?n ti?ng Anh nghi v?n: Excited; Student | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Professor Edgar,Professor Edgar,C?n ti?ng Anh nghi v?n: Edgar; Professor | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Professor Edgar,Professor Edgar,C?n ti?ng Anh nghi v?n: Edgar; Professor | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Malma (Translation),Malma (Translation),C?n ti?ng Anh nghi v?n: Malma; Translation | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dancing Student,Dancing Student,C?n ti?ng Anh nghi v?n: Dancing; Student | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Senior's Cat,Senior's Cat,C?n ti?ng Anh nghi v?n: Cat; Senior's | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Excited Student,Excited Student,C?n ti?ng Anh nghi v?n: Excited; Student | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Grateful Student,Grateful Student,C?n ti?ng Anh nghi v?n: Grateful; Student | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Admiring Student,Admiring Student,C?n ti?ng Anh nghi v?n: Admiring; Student | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Respectful Student,Respectful Student,C?n ti?ng Anh nghi v?n: Respectful; Student | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lingering Student,Lingering Student,C?n ti?ng Anh nghi v?n: Lingering; Student | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Thoughtful Student,Thoughtful Student,C?n ti?ng Anh nghi v?n: Student; Thoughtful | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Senior Support Staff,Senior Hỗ Trợ Staff,C?n ti?ng Anh nghi v?n: Senior; Staff | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
