en_source,vn_translate,loi_du_doan
Voidspawn: Iceglint Dancer,Voidspawn: Iceglint Dancer,C?n ti?ng Anh nghi v?n: Dancer; Iceglint; Voidspawn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Book Namipon Shuttle,Book Namipon Shuttle,C?n ti?ng Anh nghi v?n: Book; Namipon; Shuttle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Slightly Aged Diary,Slightly Aged Diary,C?n ti?ng Anh nghi v?n: Aged; Diary; Slightly | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tidespawn: Thundering Mephis,Tidespawn: Thundering Mephis,C?n ti?ng Anh nghi v?n: Mephis; Thundering; Tidespawn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Blood Weep: Rebel,Blood Weep: Rebel,C?n ti?ng Anh nghi v?n: Blood; Rebel; Weep | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lustrous Trophy Chest,Lustrous Trophy Chest,C?n ti?ng Anh nghi v?n: Chest; Lustrous; Trophy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Zip Zap,Phantom: Zip Zap,C?n ti?ng Anh nghi v?n: Phantom; Zap; Zip | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Advanced Trophy Chest,Advanced Trophy Chest,C?n ti?ng Anh nghi v?n: Advanced; Chest; Trophy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hiyuki's White Bird,Hiyuki's White Bird,C?n ti?ng Anh nghi v?n: Bird; Hiyuki's; White | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Additional Rule Text,Additional Rule Text,C?n ti?ng Anh nghi v?n: Additional; Rule; Text | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
