en_source,vn_translate,loi_du_doan
Solitude's Embrace,Solitude's Embrace,C?n ti?ng Anh nghi v?n: Embrace; Solitude's | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Starlit Improv,Starlit Improv,C?n ti?ng Anh nghi v?n: Improv; Starlit | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Unending Cadence,Unending Cadence,C?n ti?ng Anh nghi v?n: Cadence; Unending | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Snowy Clarity,Snowy Clarity,C?n ti?ng Anh nghi v?n: Clarity; Snowy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Anomalous Vision,Anomalous Vision,C?n ti?ng Anh nghi v?n: Anomalous; Vision | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Blade Mastery,Blade Mastery,C?n ti?ng Anh nghi v?n: Blade; Mastery | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Unraveling Fate,Unraveling Fate,C?n ti?ng Anh nghi v?n: Fate; Unraveling | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Daybreak Radiance,Daybreak Radiance,C?n ti?ng Anh nghi v?n: Daybreak; Radiance | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Complex Simplicity,Complex Simplicity,C?n ti?ng Anh nghi v?n: Complex; Simplicity | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Silent Tundra,Silent Tundra,C?n ti?ng Anh nghi v?n: Silent; Tundra | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Eternal Verity,Eternal Verity,C?n ti?ng Anh nghi v?n: Eternal; Verity | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Seeker's Devotion,Seeker's Devotion,C?n ti?ng Anh nghi v?n: Devotion; Seeker's | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Microcosmic Murmurs,Microcosmic Murmurs,C?n ti?ng Anh nghi v?n: Microcosmic; Murmurs | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Resonating Lamella,Resonating Lamella,C?n ti?ng Anh nghi v?n: Lamella; Resonating | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Temporal Virtuoso,Temporal Virtuoso,C?n ti?ng Anh nghi v?n: Temporal; Virtuoso | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dusted Mirror,Dusted Mirror,C?n ti?ng Anh nghi v?n: Dusted; Mirror | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Fleeting Blossom,Fleeting Blossom,C?n ti?ng Anh nghi v?n: Blossom; Fleeting | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Solitary Carnation,Solitary Carnation,C?n ti?ng Anh nghi v?n: Carnation; Solitary | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reigning Blade,Reigning Blade,C?n ti?ng Anh nghi v?n: Blade; Reigning | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Bloodied Jade,Bloodied Jade,C?n ti?ng Anh nghi v?n: Bloodied; Jade | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Silent Strength,Silent Strength,C?n ti?ng Anh nghi v?n: Silent; Strength | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Heavylifting Duty,Heavylifting Duty,C?n ti?ng Anh nghi v?n: Duty; Heavylifting | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Benevolent Guardian,Benevolent Guardian,C?n ti?ng Anh nghi v?n: Benevolent; Guardian | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Solitary Etude,Solitary Etude,C?n ti?ng Anh nghi v?n: Etude; Solitary | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hypocritical Hymn,Hypocritical Hymn,C?n ti?ng Anh nghi v?n: Hymn; Hypocritical | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Flaming Recitativo,Flaming Recitativo,C?n ti?ng Anh nghi v?n: Flaming; Recitativo | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Cathartic Waltz,Cathartic Waltz,C?n ti?ng Anh nghi v?n: Cathartic; Waltz | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Funerary Quartet,Funerary Quartet,C?n ti?ng Anh nghi v?n: Funerary; Quartet | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Apoplectic Instrumental,Apoplectic Instrumental,C?n ti?ng Anh nghi v?n: Apoplectic; Instrumental | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mistweaver's Debut,Mistweaver's Debut,C?n ti?ng Anh nghi v?n: Debut; Mistweaver's | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hazey Transition,Hazey Transition,C?n ti?ng Anh nghi v?n: Hazey; Transition | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Broker's Secrets,Broker's Secrets,C?n ti?ng Anh nghi v?n: Broker's; Secrets | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Covert Negotiation,Covert Negotiation,C?n ti?ng Anh nghi v?n: Covert; Negotiation | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Dark Alliance,Dark Alliance,C?n ti?ng Anh nghi v?n: Alliance; Dark | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Unconventional Compact,Unconventional Compact,C?n ti?ng Anh nghi v?n: Compact; Unconventional | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Morality's Crossroads,Morality's Crossroads,C?n ti?ng Anh nghi v?n: Crossroads; Morality's | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Unyielding Verdict,Unyielding Verdict,C?n ti?ng Anh nghi v?n: Unyielding; Verdict | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Steadfast Conviction,Steadfast Conviction,C?n ti?ng Anh nghi v?n: Conviction; Steadfast | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leaping Sparkles,Leaping Sparkles,C?n ti?ng Anh nghi v?n: Leaping; Sparkles | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Retributive Knuckles,Retributive Knuckles,C?n ti?ng Anh nghi v?n: Knuckles; Retributive | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Neighborhood Protector,Neighborhood Protector,C?n ti?ng Anh nghi v?n: Neighborhood; Protector | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Eternal Flames,Eternal Flames,C?n ti?ng Anh nghi v?n: Eternal; Flames | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Skillful Cooking,Skillful Cooking,C?n ti?ng Anh nghi v?n: Cooking; Skillful | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Exorcism Spell,Exorcism Spell,C?n ti?ng Anh nghi v?n: Exorcism; Spell | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tune Break,Tune Break,C?n ti?ng Anh nghi v?n: Break; Tune | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Zephyr Domain,Zephyr Domain,C?n ti?ng Anh nghi v?n: Domain; Zephyr | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Wind Spirals,Wind Spirals,C?n ti?ng Anh nghi v?n: Spirals; Wind | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lazuline Mercy,Lazuline Mercy,C?n ti?ng Anh nghi v?n: Lazuline; Mercy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Echoing Feathers,Echoing Feathers,C?n ti?ng Anh nghi v?n: Echoing; Feathers | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Whispering Breeze,Whispering Breeze,C?n ti?ng Anh nghi v?n: Breeze; Whispering | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Blazing Flames,Blazing Flames,C?n ti?ng Anh nghi v?n: Blazing; Flames | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Scorching Magazine,Scorching Magazine,C?n ti?ng Anh nghi v?n: Magazine; Scorching | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Grand Entrance,Grand Entrance,C?n ti?ng Anh nghi v?n: Entrance; Grand | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Heroic Bullets,Heroic Bullets,C?n ti?ng Anh nghi v?n: Bullets; Heroic | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leaping Flames,Leaping Flames,C?n ti?ng Anh nghi v?n: Flames; Leaping | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Botany Experiment,Botany Experiment,C?n ti?ng Anh nghi v?n: Botany; Experiment | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Arboreal Flourish,Arboreal Flourish,C?n ti?ng Anh nghi v?n: Arboreal; Flourish | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Verdant Growth,Verdant Growth,C?n ti?ng Anh nghi v?n: Growth; Verdant | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Starflower Blooms,Starflower Blooms,C?n ti?ng Anh nghi v?n: Blooms; Starflower | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Skillful Cooking,Skillful Cooking,C?n ti?ng Anh nghi v?n: Cooking; Skillful | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Destined Promise,Destined Promise,C?n ti?ng Anh nghi v?n: Destined; Promise | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Emergency Plan,Emergency Plan,C?n ti?ng Anh nghi v?n: Emergency; Plan | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Momentary Union,Momentary Union,C?n ti?ng Anh nghi v?n: Momentary; Union | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Harmonic Range,Harmonic Range,C?n ti?ng Anh nghi v?n: Harmonic; Range | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Overflowing Frost,Overflowing Frost,C?n ti?ng Anh nghi v?n: Frost; Overflowing | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Skillful Cooking,Skillful Cooking,C?n ti?ng Anh nghi v?n: Cooking; Skillful | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Rejuvinating Flow,Rejuvinating Flow,C?n ti?ng Anh nghi v?n: Flow; Rejuvinating | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Frigid Light,Frigid Light,C?n ti?ng Anh nghi v?n: Frigid; Light | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Eternal Frost,Eternal Frost,C?n ti?ng Anh nghi v?n: Eternal; Frost | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Glacial Gaze,Glacial Gaze,C?n ti?ng Anh nghi v?n: Gaze; Glacial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Freezing Thorns,Freezing Thorns,C?n ti?ng Anh nghi v?n: Freezing; Thorns | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Vibration Manifestation,Vibration Manifestation,C?n ti?ng Anh nghi v?n: Manifestation; Vibration | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Resonating Slashes,Resonating Slashes,C?n ti?ng Anh nghi v?n: Resonating; Slashes | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Echoing Orchestra,Echoing Orchestra,C?n ti?ng Anh nghi v?n: Echoing; Orchestra | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Silent Listener,Silent Listener,C?n ti?ng Anh nghi v?n: Listener; Silent | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Flaming Woolies,Flaming Woolies,C?n ti?ng Anh nghi v?n: Flaming; Woolies | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Cosmos Rave,Cosmos Rave,C?n ti?ng Anh nghi v?n: Cosmos; Rave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Angry Cosmos,Angry Cosmos,C?n ti?ng Anh nghi v?n: Angry; Cosmos | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Woolies Helpers,Woolies Helpers,C?n ti?ng Anh nghi v?n: Helpers; Woolies | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Skillful Cooking,Skillful Cooking,C?n ti?ng Anh nghi v?n: Cooking; Skillful | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Thermal Field,Thermal Field,C?n ti?ng Anh nghi v?n: Field; Thermal | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Crimson Fragment,Crimson Fragment,C?n ti?ng Anh nghi v?n: Crimson; Fragment | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Crimson Bloom,Crimson Bloom,C?n ti?ng Anh nghi v?n: Bloom; Crimson | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Crimson Light,Crimson Light,C?n ti?ng Anh nghi v?n: Crimson; Light | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
