en_source,vn_translate,loi_du_doan
Echo Challenge: Dancer Hacking,Echo Challenge: Dancer Hacking,C?n ti?ng Anh nghi v?n: Challenge; Dancer; Hacking | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Dancer Hacking,Echo Challenge: Dancer Hacking,C?n ti?ng Anh nghi v?n: Challenge; Dancer; Hacking | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Dancer Hacking,Echo Challenge: Dancer Hacking,C?n ti?ng Anh nghi v?n: Challenge; Dancer; Hacking | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Dancer Hacking,Echo Challenge: Dancer Hacking,C?n ti?ng Anh nghi v?n: Challenge; Dancer; Hacking | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Dancer Hacking,Echo Challenge: Dancer Hacking,C?n ti?ng Anh nghi v?n: Challenge; Dancer; Hacking | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Memorandum for Newcomer Exiles,Memorandum for Newcomer Exiles,C?n ti?ng Anh nghi v?n: for; Memorandum; Newcomer | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Temporary Team's Group Photo,Temporary Đội's Group Photo,C?n ti?ng Anh nghi v?n: Group; Photo; Temporary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
<i>Story of the Guqin</i>,<i>Story of the Guqin</i>,C?n ti?ng Anh nghi v?n: Guqin; of; Story | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Note With Crooked Writing,Ghi chú With Crooked Writing,C?n ti?ng Anh nghi v?n: Crooked; With; Writing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
The Quest Against Malevolence,The Quest Against Malevolence,C?n ti?ng Anh nghi v?n: Against; Malevolence; Quest | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
A Left-behind Note,A Left-behind Ghi chú,C?n ti?ng Anh nghi v?n: A; behind; Left | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Letter from the Past,Letter from the Past,C?n ti?ng Anh nghi v?n: from; Letter; Past | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Notice for Lost Student ID,Thông báo for Lost Student ID,C?n ti?ng Anh nghi v?n: for; Lost; Student | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Lahai-Roi Stargazing Guide,Lahai-Roi Stargazing Guide,C?n ti?ng Anh nghi v?n: Guide; Lahai; Stargazing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
New Federation Exclusive Scoop! Ready to be WOWed by the Upper Crust's Life!,Tin Độc Quyền New Federation! Sẵn Sàng Choáng Ngợp Trước Cuộc Sống Upper Lưu Nào!,C?n ti?ng Anh nghi v?n: Federation; New; Upper | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
