en_source,vn_translate,loi_du_doan
Challenge Goal,Challenge Goal,C?n ti?ng Anh nghi v?n: Challenge; Goal | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Challenge Goal,Challenge Goal,C?n ti?ng Anh nghi v?n: Challenge; Goal | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Area Mechanisms,Area Mechanisms,C?n ti?ng Anh nghi v?n: Area; Mechanisms | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Area Mechanisms,Area Mechanisms,C?n ti?ng Anh nghi v?n: Area; Mechanisms | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Switch Weapons,Switch Weapons,C?n ti?ng Anh nghi v?n: Switch; Weapons | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Switch the channel on the Lollo Screen,Switch kênh trên Màn Hình Lollo,C?n ti?ng Anh nghi v?n: Lollo; Switch | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Switch Weapons,Switch Weapons,C?n ti?ng Anh nghi v?n: Switch; Weapons | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Switch Songs,Switch Songs,C?n ti?ng Anh nghi v?n: Songs; Switch | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Switch Songs,Switch Songs,C?n ti?ng Anh nghi v?n: Songs; Switch | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Area Mechanisms,Area Mechanisms,C?n ti?ng Anh nghi v?n: Area; Mechanisms | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Area Mechanisms,Area Mechanisms,C?n ti?ng Anh nghi v?n: Area; Mechanisms | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
End stargazing,End stargazing,C?n ti?ng Anh nghi v?n: End; stargazing | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
End stargazing,End stargazing,C?n ti?ng Anh nghi v?n: End; stargazing | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Synchronization Test,Synchronization Test,C?n ti?ng Anh nghi v?n: Synchronization; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Interact with the portal to head to the Final Test,Tương tác với cánh cổng để tiến vào Final Test,C?n ti?ng Anh nghi v?n: Final; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Interact with the portal to head to the Final Test,Tương tác với cánh cổng để tiến vào Final Test,C?n ti?ng Anh nghi v?n: Final; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Interact with the portal to head to the Final Test,Tương tác với cánh cổng để tiến vào Final Test,C?n ti?ng Anh nghi v?n: Final; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Interact with the portal to head to the Final Test,Tương tác với cánh cổng để tiến vào Final Test,C?n ti?ng Anh nghi v?n: Final; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Interact with the portal to head to the Final Test,Tương tác với cánh cổng để tiến vào Final Test,C?n ti?ng Anh nghi v?n: Final; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Interact with the portal to head to the Final Test,Tương tác với cánh cổng để tiến vào Final Test,C?n ti?ng Anh nghi v?n: Final; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Interact with the portal to head to the Final Test,Tương tác với cánh cổng để tiến vào Final Test,C?n ti?ng Anh nghi v?n: Final; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Time Placeholder,Time Placeholder,C?n ti?ng Anh nghi v?n: Placeholder; Time | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Test Placeholder,Test Placeholder,C?n ti?ng Anh nghi v?n: Placeholder; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Test Placeholder 3,Test Placeholder 3,C?n ti?ng Anh nghi v?n: Placeholder; Test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
New Arrival in The Big City,New Arrival Đến Thành Phố Lớn,C?n ti?ng Anh nghi v?n: Arrival; New | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
New Arrival in The Big City,New Arrival Đến Thành Phố Lớn,C?n ti?ng Anh nghi v?n: Arrival; New | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Surprised Female Voice,Surprised Female Giọng nói,C?n ti?ng Anh nghi v?n: Female; Surprised | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Surprised Male Voice,Surprised Male Giọng nói,C?n ti?ng Anh nghi v?n: Male; Surprised | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Old Lady,Old Lady,C?n ti?ng Anh nghi v?n: Lady; Old | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Anxious Male Voice,Anxious Male Giọng nói,C?n ti?ng Anh nghi v?n: Anxious; Male | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Calm Female Voice,Calm Female Giọng nói,C?n ti?ng Anh nghi v?n: Calm; Female | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Weak Male Voice,Weak Male Giọng nói,C?n ti?ng Anh nghi v?n: Male; Weak | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Restrained Female Voice,Restrained Female Giọng nói,C?n ti?ng Anh nghi v?n: Female; Restrained | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Elder Male Voice,Giọng nói Elder (Male),C?n ti?ng Anh nghi v?n: Elder; Male | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Weapon Forger,Weapon Forger,C?n ti?ng Anh nghi v?n: Forger; Weapon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Male Researcher,Male Researcher,C?n ti?ng Anh nghi v?n: Male; Researcher | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Female Instructor,Female Instructor,C?n ti?ng Anh nghi v?n: Female; Instructor | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Female Civilian,Female Civilian,C?n ti?ng Anh nghi v?n: Civilian; Female | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Male Civilian,Male Civilian,C?n ti?ng Anh nghi v?n: Civilian; Male | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hologram of a Male Researcher,Hologram Nhà Nghiên Cứu Male,C?n ti?ng Anh nghi v?n: Hologram; Male | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Vault Security,Vault Security,C?n ti?ng Anh nghi v?n: Security; Vault | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
New Fool,New Fool,C?n ti?ng Anh nghi v?n: Fool; New | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
??? (False Sovereign),??? (False Sovereign),C?n ti?ng Anh nghi v?n: False; Sovereign | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
