en_source,vn_translate,loi_du_doan
Instance 4050 Step 2 Completed,Instance 4050 Step 2 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 4050 Step 3 Completed,Instance 4050 Step 3 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 4050 Step 4 Completed,Instance 4050 Step 4 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 4050 Step 5 Completed,Instance 4050 Step 5 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 4050 Step 6 Completed,Instance 4050 Step 6 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 1 Completed,Instance 170000100 Step 1 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 2 Completed,Instance 170000100 Step 2 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 3 Completed,Instance 170000100 Step 3 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 4 Completed,Instance 170000100 Step 4 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 5 Completed,Instance 170000100 Step 5 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 6 Completed,Instance 170000100 Step 6 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 7 Completed,Instance 170000100 Step 7 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 8 Completed,Instance 170000100 Step 8 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 9 Completed,Instance 170000100 Step 9 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 10 Completed,Instance 170000100 Step 10 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
