en_source,vn_translate,loi_du_doan
Synthesize,Synthesize,C?n ti?ng Anh nghi v?n: Synthesize | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Namipon Ability,Kỹ Năng Namipon,C?n ti?ng Anh nghi v?n: Namipon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Stickers,Stickers,C?n ti?ng Anh nghi v?n: Stickers | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Warehouse,Warehouse,C?n ti?ng Anh nghi v?n: Warehouse | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Warehouse,Warehouse,C?n ti?ng Anh nghi v?n: Warehouse | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Namipon Case Files,Hồ Sơ Vụ Án Namipon,C?n ti?ng Anh nghi v?n: Namipon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Helltide Arrives,Helltide Đã Đến,C?n ti?ng Anh nghi v?n: Helltide | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Recommended Sticker Tags,Thẻ Sticker Đề Xuất,C?n ti?ng Anh nghi v?n: Sticker | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Missing Namipon,Thiếu Namipon,C?n ti?ng Anh nghi v?n: Namipon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Features,Features,C?n ti?ng Anh nghi v?n: Features | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Case Details,Details vụ án,C?n ti?ng Anh nghi v?n: Details | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Namipon Shuttle booked!,Đã Đặt Chuyến Tàu Namipon!,C?n ti?ng Anh nghi v?n: Namipon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Standard Rewards,Rewards Tiêu Chuẩn,C?n ti?ng Anh nghi v?n: Rewards | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
