en_source,vn_translate,loi_du_doan
"While in <color=Highlight>Kaleidoscopic Parade</color>, <color=Highlight>Basic Attack - Polychrome Leap</color> consumes <color=Highlight>Lumiflow</color> and restores <color=Highlight>True Color</color>. {Cus:Ipt,Touch=Tap PC=Press Gamepad=Press} Normal Attack at max <color=Highlight>True Color</color> to cast <color=Highlight>Basic Attack - Iridescent Splash</color> or <color=Highlight>Basic Attack - Visual Impact</color>.","Khi ở trong <color=Highlight>Kaleidoscopic Parade</color>, <color=Highlight>Basic Attack - Polychrome Leap</color> tiêu hao <color=Highlight>Lumiflow</color> và phục hồi <color=Highlight>True Color</color>. {Cus:Ipt,Touch=tap PC=press Gamepad=press} Normal Attack khi <color=Highlight>True Color</color> đạt tối đa để tung <color=Highlight>Basic Attack - Iridescent Splash</color> hoặc <color=Highlight>Basic Attack - Visual Impact</color>.",C?n ti?ng Anh nghi v?n: Attack; Basic; Color; Impact; Iridescent; Kaleidoscopic; Leap; Lumiflow; Normal; Parade; Polychrome; Splash; True; Visual | S? t?/c?m nghi v?n: 21 | T? l? nghi v?n: 0.808 | M?c ??: 90.08
"While in <color=Highlight>Kaleidoscopic Parade</color>, <color=Highlight>Basic Attack - Polychrome Leap</color> consumes <color=Highlight>Lumiflow</color> and restores <color=Highlight>True Color</color>. {Cus:Ipt,Touch=Tap PC=Press Gamepad=Press} Normal Attack at max <color=Highlight>True Color</color> to cast <color=Highlight>Basic Attack - Iridescent Splash</color> or <color=Highlight>Basic Attack - Visual Impact</color>.","Khi ở trong <color=Highlight>Kaleidoscopic Parade</color>, <color=Highlight>Basic Attack - Polychrome Leap</color> tiêu hao <color=Highlight>Lumiflow</color> và phục hồi <color=Highlight>True Color</color>. {Cus:Ipt,Touch=tap PC=press Gamepad=press} Normal Attack khi <color=Highlight>True Color</color> đạt tối đa để tung <color=Highlight>Basic Attack - Iridescent Splash</color> hoặc <color=Highlight>Basic Attack - Visual Impact</color>.",C?n ti?ng Anh nghi v?n: Attack; Basic; Color; Impact; Iridescent; Kaleidoscopic; Leap; Lumiflow; Normal; Parade; Polychrome; Splash; True; Visual | S? t?/c?m nghi v?n: 21 | T? l? nghi v?n: 0.808 | M?c ??: 90.08
"While in <color=Highlight>Kaleidoscopic Parade</color>, <color=Highlight>Basic Attack - Polychrome Leap</color> consumes <color=Highlight>Lumiflow</color> and restores <color=Highlight>True Color</color>. {Cus:Ipt,Touch=Tap PC=Press Gamepad=Press} Normal Attack at max <color=Highlight>True Color</color> to cast <color=Highlight>Basic Attack - Iridescent Splash</color> or <color=Highlight>Basic Attack - Visual Impact</color>.","Khi ở trong <color=Highlight>Kaleidoscopic Parade</color>, <color=Highlight>Basic Attack - Polychrome Leap</color> tiêu hao <color=Highlight>Lumiflow</color> và phục hồi <color=Highlight>True Color</color>. {Cus:Ipt,Touch=tap PC=press Gamepad=press} Normal Attack khi <color=Highlight>True Color</color> đạt tối đa để tung <color=Highlight>Basic Attack - Iridescent Splash</color> hoặc <color=Highlight>Basic Attack - Visual Impact</color>.",C?n ti?ng Anh nghi v?n: Attack; Basic; Color; Impact; Iridescent; Kaleidoscopic; Leap; Lumiflow; Normal; Parade; Polychrome; Splash; True; Visual | S? t?/c?m nghi v?n: 21 | T? l? nghi v?n: 0.808 | M?c ??: 90.08
"Gain the following enhancements:
- At the start of the challenge, Resonance Energy is recovered by 100%, and the enemy's All-Attribute RES is reduced to 0.
- Resonators' certain attacks can disrupt the enemy's Tunability and accumulate Off-Tune Level. The enemy enters Mistune once their Off-Tune Level is full. Resonators can transform into Kerasaur during this time to attack the enemy, resetting their Off-Tune Level on hit.
- The enemy enters Mistune immediately when some of their attacks are countered or successfully Dodged. During this time, Resonators can perform Tune Break to attack the enemy without resetting their Off-Tune Level.

Echo Skill DMG dealt by Resonators in the team accumulates 100% more Off-Tune Level.","Nhận các tăng cường sau:
- Khi bắt đầu thử thách, Resonance Energy được phục hồi 100%, và RES toàn thuộc tính của kẻ địch giảm xuống 0.
- Một số đòn tấn công của Resonators có thể làm gián đoạn Tunability của kẻ địch và tích lũy Off-Tune Level. Kẻ địch sẽ rơi vào trạng thái Mistune khi Off-Tune Level đầy. Trong thời gian này, Resonators có thể biến hình thành Kerasaur để tấn công kẻ địch, đặt lại Off-Tune Level khi trúng đòn.
- Kẻ địch sẽ rơi vào Mistune ngay lập tức khi một số đòn tấn công của chúng bị phản đòn hoặc Dodge thành công. Trong thời gian này, Resonators có thể thực hiện Tune Break để tấn công kẻ địch mà không đặt lại Off-Tune Level.

Echo Skill DMG gây ra bởi Resonators trong đội tích lũy Off-Tune Level nhanh hơn 100%.",C?n ti?ng Anh nghi v?n: Break; Energy; Kerasaur; Level; Mistune; Off; RES; Skill; Tunability; Tune | S? t?/c?m nghi v?n: 24 | T? l? nghi v?n: 0.533 | M?c ??: 87.33
"Smash 'Em All
Default Buff: All team members' Heavy Attack DMG is increased by 50% and they cannot be downed during the challenge. Hitting a target with Heavy Attack recovers 10 Concerto Energy.
Primary Buff: Dealing Heavy Attack DMG 2 times increases the Resonator's Crit. DMG by 5% (triggered once every 0.1s), stacking up to 20 times.
Enhanced Buff: Dealing Heavy Attack DMG 5 times generates an Iceblast (triggered once every 0.1s), dealing Glacio DMG equal to 400% of the Resonator's ATK.
Ultimate Buff: The Crit. Rate of Heavy Attack is increased by 50%.","Đập Tan Tất Cả
Buff Mặc Định: DMG Heavy Attack của tất cả thành viên đội tăng 50% và họ không thể bị hạ gục trong thử thách. Gây DMG bằng Heavy Attack sẽ phục hồi 10 Concerto Energy.
Buff Chính: Gây DMG bằng Heavy Attack 2 lần sẽ tăng Crit. DMG của Resonator thêm 5% (kích hoạt mỗi 0.1 giây), cộng dồn tối đa 20 lần.
Buff Nâng Cao: Gây DMG bằng Heavy Attack 5 lần sẽ tạo ra một vụ nổ băng (kích hoạt mỗi 0.1 giây), gây Glacio DMG bằng 400% ATK của Resonator.
Buff Tối Thượng: Crit. Rate của Heavy Attack tăng 50%.",C?n ti?ng Anh nghi v?n: Attack; Buff; Energy; Heavy; Rate | S? t?/c?m nghi v?n: 16 | T? l? nghi v?n: 0.485 | M?c ??: 86.85
"Gain the following enhancements:
- At the start of the challenge, Resonance Energy is recovered by 100%, and the enemy's All-Attribute RES is reduced to 0.
- Resonators' certain attacks can disrupt the enemy's Tunability and accumulate Off-Tune Level. The enemy enters Mistune once their Off-Tune Level is full. Resonators can transform into Kerasaur during this time to attack the enemy, resetting their Off-Tune Level on hit.
- The enemy enters Mistune immediately when some of their attacks are countered or successfully Dodged. During this time, Resonators can perform Tune Break to attack the enemy without resetting their Off-Tune Level.

DMG dealt by Resonators in the team with a Shield accumulates 100% more Off-Tune Level.","Nhận các tăng cường sau:
- Khi bắt đầu thử thách, Resonance Energy được phục hồi 100%, và RES toàn thuộc tính của kẻ địch giảm xuống 0.
- Một số đòn tấn công của Resonators có thể phá vỡ Tunability của kẻ địch và tích lũy Off-Tune Level. Khi Off-Tune Level đầy, kẻ địch sẽ rơi vào trạng thái Mistune. Trong thời gian này, Resonators có thể biến hình thành Kerasaur để tấn công kẻ địch, và mỗi lần trúng đòn sẽ đặt lại Off-Tune Level.
- Khi một số đòn tấn công của kẻ địch bị phản đòn hoặc Dodge thành công, kẻ địch sẽ lập tức rơi vào Mistune. Trong thời gian này, Resonators có thể thực hiện Tune Break để tấn công kẻ địch mà không đặt lại Off-Tune Level.

DMG gây ra bởi Resonators trong đội có Shield sẽ tích lũy Off-Tune Level nhanh hơn 100%.",C?n ti?ng Anh nghi v?n: Break; Energy; Kerasaur; Level; Mistune; Off; RES; Shield; Tunability; Tune | S? t?/c?m nghi v?n: 24 | T? l? nghi v?n: 0.571 | M?c ??: 84.71
"Gain the following enhancements:
- At the start of the challenge, Resonance Energy is recovered by 100%, and the enemy's All-Attribute RES is reduced to 0.
- Resonators' certain attacks can disrupt the enemy's Tunability and accumulate Off-Tune Level. The enemy enters Mistune once their Off-Tune Level is full. Resonators can transform into Kerasaur during this time to attack the enemy, resetting their Off-Tune Level on hit.
- The enemy enters Mistune immediately when some of their attacks are countered or successfully Dodged. During this time, Resonators can perform Tune Break to attack the enemy without resetting their Off-Tune Level.

Spectro Frazzle DMG dealt by Resonators in the team accumulates 100% more Off-Tune Level.","Nhận các tăng cường sau:
- Khi bắt đầu thử thách, Resonance Energy được phục hồi 100%, và RES toàn thuộc tính của kẻ địch giảm xuống 0.
- Một số đòn tấn công của Resonators có thể làm gián đoạn Tunability của kẻ địch và tích lũy Off-Tune Level. Kẻ địch sẽ rơi vào trạng thái Mistune khi Off-Tune Level đầy. Trong thời gian này, Resonators có thể biến hình thành Kerasaur để tấn công kẻ địch, đặt lại Off-Tune Level khi trúng đòn.
- Kẻ địch sẽ rơi vào Mistune ngay lập tức khi một số đòn tấn công của chúng bị phản đòn hoặc Dodge thành công. Trong thời gian này, Resonators có thể thực hiện Tune Break để tấn công kẻ địch mà không đặt lại Off-Tune Level.

Spectro Frazzle DMG gây bởi Resonators trong đội tích lũy Off-Tune Level nhanh hơn 100%.",C?n ti?ng Anh nghi v?n: Break; Energy; Frazzle; Kerasaur; Level; Mistune; Off; RES; Tunability; Tune | S? t?/c?m nghi v?n: 24 | T? l? nghi v?n: 0.545 | M?c ??: 84.45
"Gain the following enhancements:
- At the start of the challenge, Resonance Energy is recovered by 100%, and the enemy's All-Attribute RES is reduced to 0.
- Resonators' certain attacks can disrupt the enemy's Tunability and accumulate Off-Tune Level. The enemy enters Mistune once their Off-Tune Level is full. Resonators can transform into Kerasaur during this time to attack the enemy, resetting their Off-Tune Level on hit.
- The enemy enters Mistune immediately when some of their attacks are countered or successfully Dodged. During this time, Resonators can perform Tune Break to attack the enemy without resetting their Off-Tune Level.

Havoc Bane DMG dealt by Resonators in the team accumulates 100% more Off-Tune Level for 30s.","Nhận các tăng cường sau:
- Khi bắt đầu thử thách, Resonance Energy được phục hồi 100%, và RES toàn thuộc tính của kẻ địch giảm xuống 0.
- Một số đòn tấn công nhất định của Resonators có thể làm gián đoạn Tunability của kẻ địch và tích lũy Off-Tune Level. Kẻ địch sẽ rơi vào trạng thái Mistune khi Off-Tune Level đầy. Trong thời gian này, Resonators có thể biến hình thành Kerasaur để tấn công kẻ địch, đặt lại Off-Tune Level khi trúng đòn.
- Kẻ địch sẽ rơi vào Mistune ngay lập tức khi một số đòn tấn công của chúng bị phản đòn hoặc Dodge thành công. Trong thời gian này, Resonators có thể thực hiện Tune Break để tấn công kẻ địch mà không đặt lại Off-Tune Level.

Havoc Bane DMG gây ra bởi Resonators trong đội sẽ tích lũy Off-Tune Level nhiều hơn 100% trong 30 giây.",C?n ti?ng Anh nghi v?n: Bane; Break; Energy; Kerasaur; Level; Mistune; Off; RES; Tunability; Tune | S? t?/c?m nghi v?n: 24 | T? l? nghi v?n: 0.533 | M?c ??: 84.33
"Impulse Tide
Lv. 0: Dealing <color=Highlight>Heavy Attack DMG</color> or dealing damage with <color=Highlight>Heavy Attack</color> grants 60% All-Attribute DMG Bonus. Cannot be downed during the challenge.
Lv. 1: Dealing <color=Highlight>Heavy Attack DMG</color> or dealing damage with <color=Highlight>Heavy Attack</color>, creates an Impulse Tide that pulls in nearby targets and deals <color=Wind>Aero DMG</color>. CD: 5s.
Lv. 2: Cooldown of Impulse Tide is reduced by 2s. Affected targets take 60% Amplified damage.
Lv. 3: Impulse Tide releases a shockwave, dealing additional damage.","Impulse Tide
Cấp 0: Gây <color=Highlight>DMG Heavy Attack</color> hoặc gây sát thương bằng <color=Highlight>Heavy Attack</color> sẽ nhận 60% DMG Bonus cho tất cả thuộc tính. Không thể bị hạ gục trong thử thách.
Cấp 1: Gây <color=Highlight>DMG Heavy Attack</color> hoặc gây sát thương bằng <color=Highlight>Heavy Attack</color> sẽ tạo ra Impulse Tide hút mục tiêu gần đó và gây <color=Wind>Aero DMG</color>. CD: 5 giây.
Cấp 2: Thời gian Cooldown của Impulse Tide giảm 2 giây. Mục tiêu bị ảnh hưởng nhận sát thương tăng 60%.
Cấp 3: Impulse Tide giải phóng một làn sóng xung kích, gây sát thương bổ sung.",C?n ti?ng Anh nghi v?n: Attack; Bonus; Cooldown; Heavy; Impulse; Tide | S? t?/c?m nghi v?n: 18 | T? l? nghi v?n: 0.6 | M?c ??: 78.0
"Gain the following enhancements:
- At the start of the challenge, Resonance Energy is recovered by 100%, and the enemy's All-Attribute RES is reduced to 0.
- Resonators' certain attacks can disrupt the enemy's Tunability and accumulate Off-Tune Level. The enemy enters Mistune once their Off-Tune Level is full. Resonators can transform into Kerasaur during this time to attack the enemy, resetting their Off-Tune Level on hit.
- The enemy enters Mistune immediately when some of their attacks are countered or successfully Dodged. During this time, Resonators can perform Tune Break to attack the enemy without resetting their Off-Tune Level.","Nhận các tăng cường sau:
- Khi bắt đầu thử thách, Resonance Energy được phục hồi 100%, và RES toàn thuộc tính của kẻ địch giảm về 0.
- Một số đòn tấn công của Resonators có thể phá vỡ Tunability của kẻ địch và tích lũy Off-Tune Level. Kẻ địch sẽ rơi vào trạng thái Mistune khi Off-Tune Level đầy. Trong thời gian này, Resonators có thể biến hình thành Kerasaur để tấn công kẻ địch, đặt lại Off-Tune Level khi trúng đòn.
- Kẻ địch sẽ rơi vào Mistune ngay lập tức khi một số đòn tấn công của chúng bị phản đòn hoặc Dodge thành công. Trong thời gian này, Resonators có thể thực hiện Tune Break để tấn công kẻ địch mà không đặt lại Off-Tune Level.",C?n ti?ng Anh nghi v?n: Break; Energy; Kerasaur; Level; Mistune; Off; RES; Tunability; Tune | S? t?/c?m nghi v?n: 20 | T? l? nghi v?n: 0.571 | M?c ??: 72.71
