en_source,vn_translate,loi_du_doan
Greet Mizar,Chào Mizar,C?n ti?ng Anh nghi v?n: Mizar | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Play the game on the console,Play trò chơi trên thiết bị đầu cuối,C?n ti?ng Anh nghi v?n: Play | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Investigate,Investigate,C?n ti?ng Anh nghi v?n: Investigate | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Investigate,Investigate,C?n ti?ng Anh nghi v?n: Investigate | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Investigate,Investigate,C?n ti?ng Anh nghi v?n: Investigate | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Inquire,Inquire,C?n ti?ng Anh nghi v?n: Inquire | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Restore the Voidborn Eldertree in Solisia Landing,Khôi phục Cây Cổ Thụ Hư Không tại Bến Đáp Solisia,C?n ti?ng Anh nghi v?n: Solisia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Restore the Voidborn Eldertree in Solisia Landing,Khôi phục Cây Cổ Thụ Hư Không tại Bến Đáp Solisia,C?n ti?ng Anh nghi v?n: Solisia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Type-Q Restorative: {count_1}/4400,Chất Phục Hồi Loại-Q: {count_1}/4400,C?n ti?ng Anh nghi v?n: Q | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Type-Q Restorative: {count_1}/4400,Chất Phục Hồi Loại-Q: {count_1}/4400,C?n ti?ng Anh nghi v?n: Q | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
