en_source,vn_translate,loi_du_doan
Look for Lady Flora's items,Tìm đồ vật của Lady Flora,C?n ti?ng Anh nghi v?n: Lady | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Beyond the Waves,Beyond Những Con Sóng,C?n ti?ng Anh nghi v?n: Beyond | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Give the photo to Alannah,Đưa bức ảnh cho Alannah,C?n ti?ng Anh nghi v?n: Alannah | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Visit the richest person in Jinzhou with Alannah,Đến gặp người giàu nhất Jinzhou cùng Alannah,C?n ti?ng Anh nghi v?n: Alannah | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Ragunna Sales Blitz II,Đợt Bán Hàng Thần Tốc Ragunna II,C?n ti?ng Anh nghi v?n: II | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
About the Resonance Nexus...,Về Resonance Nexus...,C?n ti?ng Anh nghi v?n: Nexus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Ragunna Sales Blitz III,Đợt Bán Hàng Thần Tốc Ragunna III,C?n ti?ng Anh nghi v?n: III | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Ragunna Sales Blitz IV,Đợt Bán Hàng Thần Tốc Ragunna IV,C?n ti?ng Anh nghi v?n: IV | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Hmm? Alannah isn't in town today?,Hả? Hôm nay Alannah không có ở thị trấn à?,C?n ti?ng Anh nghi v?n: Alannah | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Ragunna Sales Blitz V,Đợt Bán Hàng Thần Tốc Ragunna V,C?n ti?ng Anh nghi v?n: V | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"As the project nears its deadline, Alannah proposes one final plan...","Khi dự án đến gần hạn chót, Alannah đề xuất một kế hoạch cuối cùng...",C?n ti?ng Anh nghi v?n: Alannah | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
In the Name of Chivalry I,Nhân Danh Hiệp Khí I,C?n ti?ng Anh nghi v?n: I | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
In the Name of Chivalry II,Nhân Danh Hiệp Khí II,C?n ti?ng Anh nghi v?n: II | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
In the Name of Chivalry III,Danh Dự Hiệp Sĩ III,C?n ti?ng Anh nghi v?n: III | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
In the Name of Chivalry IV,Danh Dự Hiệp Sĩ IV,C?n ti?ng Anh nghi v?n: IV | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
In the Name of Chivalry V,Danh Dự Hiệp Sĩ V,C?n ti?ng Anh nghi v?n: V | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
In the Name of Chivalry VII,Danh Dự Hiệp Sĩ VII,C?n ti?ng Anh nghi v?n: VII | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
