en_source,vn_translate,loi_du_doan
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"""Death Messenger"" Concerto Regen","""Khúc Concerto ""Messenger Tử Thần"" - Hồi Phục""",C?n ti?ng Anh nghi v?n: Messenger | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Glacier Duration,Thời Gian Glacier,C?n ti?ng Anh nghi v?n: Glacier | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"""Mercy"" Resonance Regen",“Lòng Thương Xót” Resonance Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"""Death Messenger"" Resonance Regen","""Resonance ""Messenger Tử Thần"" - Hồi Phục""",C?n ti?ng Anh nghi v?n: Messenger | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Enhance Forte Circuit,Nâng cấp Forte Circuit,C?n ti?ng Anh nghi v?n: Circuit | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Stage 1 DMG,Stage 1 DMG,C?n ti?ng Anh nghi v?n: Stage | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Stage 2 DMG,Stage 2 DMG,C?n ti?ng Anh nghi v?n: Stage | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Stage 3 DMG,Stage 3 DMG,C?n ti?ng Anh nghi v?n: Stage | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Stage 4 DMG,Stage 4 DMG,C?n ti?ng Anh nghi v?n: Stage | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Incarnation Duration,Thời Gian Incarnation,C?n ti?ng Anh nghi v?n: Incarnation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Overflowing Radiance Concerto Regen,Ánh Sáng Tràn Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Resonance Cost,Resonance Cost,C?n ti?ng Anh nghi v?n: Cost | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Crescent Divinity Concerto Regen,Thần Quyền Lưỡi Liềm Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Magnetic Roar Concerto Regen,Tiếng Gầm Từ Tính Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Lightning Execution Concerto Regen,Hành Quyết Sét Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Electromagnetic Blast Concerto Regen,Vụ Nổ Điện Từ Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Gain {0} Electro DMG Bonus when in Red Light Mode.,Nhận {0} Electro DMG Bonus khi ở trong Chế Độ Đèn Đỏ.,C?n ti?ng Anh nghi v?n: Bonus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.2 | M?c ??: 8.0
Gavel of Earthshaker Concerto Regen,Búa Địa Chấn Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Dodge Counter - Aemeath DMG,DMG Phản Đòn Né Tránh - Aemeath,C?n ti?ng Anh nghi v?n: Aemeath | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Dodge Counter - Mech DMG,DMG Phản Đòn Né Tránh - Mech,C?n ti?ng Anh nghi v?n: Mech | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Heavenfall Edict: Overdrive Resonance Cost,Thiên Lệnh Cú Đổ: Resonance Cost Quá Tải,C?n ti?ng Anh nghi v?n: Cost | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Resonance Cost,Resonance Cost,C?n ti?ng Anh nghi v?n: Cost | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Concerto Regen,Concerto Regen,C?n ti?ng Anh nghi v?n: Regen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Phantom Bubble - Stagecraft Form DMG,Bong Bóng Phantom - Sát Thương Hình Thái Diễn Xuất,C?n ti?ng Anh nghi v?n: Phantom | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
