en_source,vn_translate,loi_du_doan
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Reduce your opponent's HP to 0, or have more HP than them by the end of Round 8.","Giảm HP của đối thủ xuống 0, hoặc có nhiều HP hơn họ khi kết thúc Round 8.",C?n ti?ng Anh nghi v?n: Round | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"- When you Modulate this Echo, increase its CON by {0}.","- Khi Modulate Echo này, tăng CON của nó thêm {0}.",C?n ti?ng Anh nghi v?n: Modulate | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Tacet Discords affected by the Glacio Beacon have all of their RES reduced by <color=#fde7a1ff>{0}</color>.,Tất cả Kháng của Tacet Discord bị ảnh hưởng bởi Glacio Beacon đều giảm <color=#fde7a1ff>{0}</color>.,C?n ti?ng Anh nghi v?n: Beacon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Junrock Echo now deals Glacio DMG and Slows targets by <color=#fde7a1ff>{0}</color>.,Junrock Echo giờ gây Glacio DMG và làm chậm mục tiêu <color=#fde7a1ff>{0}</color>.,C?n ti?ng Anh nghi v?n: Junrock | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Combat Machines' Crit. DMG is increased by <color=#fde7a1ff>20%</color>.,Crit. DMG của Combat Machines tăng <color=#fde7a1ff>20%</color>.,C?n ti?ng Anh nghi v?n: Combat | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Combat Machines' Crit. DMG is increased by <color=#fde7a1ff>30%</color>.,Crit. DMG của Combat Machines tăng <color=#fde7a1ff>30%</color>.,C?n ti?ng Anh nghi v?n: Combat | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Tacet Discords affected by the Glacio Beacon have all of their RES reduced.,Tất cả Kháng của Tacet Discord bị ảnh hưởng bởi Glacio Beacon đều bị giảm.,C?n ti?ng Anh nghi v?n: Beacon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Junrock Echo now deals Glacio DMG and Slows targets down.,Junrock Echo giờ gây Glacio DMG và làm chậm mục tiêu.,C?n ti?ng Anh nghi v?n: Junrock | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"When taking damage, consume [Glory] to counterattack the attacker and obtain a Shield. This effect can also be triggered periodically when dealing damage.","Khi nhận sát thương, tiêu hao [Glory] để phản đòn kẻ tấn công và nhận một Lớp Shield. Hiệu ứng này cũng có thể kích hoạt định kỳ khi gây sát thương.",C?n ti?ng Anh nghi v?n: Shield | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Total DMG against all enemies is increased by 30%, but DMG taken by the Resonator is increased by 50%.","Total Sát Thương gây ra cho tất cả kẻ địch tăng 30%, nhưng Resonator chịu thêm 50% Sát Thương.",C?n ti?ng Anh nghi v?n: Total | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"She would never forget the first time she ""devoured"" a <te href=850081>Tacet Discord</te>. Her body's rejection tore through her, an agony that seared her insides, as if her very soul would be reduced to ash. But more unbearable than the pain was the weakness it revealed.
 
She knew what had granted her a second chance at life, and she remembered the vow she had once sworn. But when she stood before the ""true forms of evil,"" she understood just how powerless she truly was.
 
So she surrendered her frequency, striking a pact with the demon that dwelled within her. That day, she set foot on a path with no return.
 
Yet to her, this was the ""hunt"" she was always destined to begin: the hunting ceremony she never attended, the Sacred Flames the <te href=850152>Priestess</te> should have lit... Now ignited instead by the infernal blaze of ""Galbrena.""
 
And so, the girl bearing fire wandered between civilization and wilderness, listening to whispers and sifting through legends. She wandered desolate ruins littered with corpses and bones, seeking only to hunt the monsters born of mankind's emotions.
 
She once fought up on a sheer cliff and plummeted with her foe into the depths—though she had not yet learned to fly.
 
She once battled beneath the surface of a dark lake, for her enemy feared the water—though she herself could barely swim.
 
She had slain countless monsters, and had nearly been slain by countless more.
 
<te href=260005>Chimera</te> once believed that those granted a second life would cling to it, doing anything to survive, until their will buckled under the weight and they fell into his trap. Never had Chimera imagined that he would be undone by the very bloodlust he sought. Again and again, the girl challenged foes far stronger than herself, wagering her life each time, until she became a living prison of flesh and blood that bound him.
 
This second life had come at a cost. To live it in cowardice would make it meaningless. She did not fight merely to tame the demon inside her. She fought to wrest more power from fate itself.
 
Yet Chimera's words were not without truth: kindness without power is the cruelest tragedy. To save, one must also learn to harm. She recalled her mother's words, ""If a tree's roots cannot pierce into hell, then its branches will never reach heaven."" But she had never yearned for heaven. If hell awaited her, then she would descend deeper, dragging demons down with her, forcing them to kneel before infernal fire, or consigning them to eternal ruin… Even if that inferno consumed her as well.
 
Still, she sometimes wondered if she had already become the demon people whispered about. Could her current body... even be considered ""human""? Could she truly wield darkness for good, without being devoured by it?
 
For while she gave her kindness freely… she had done things only demons would.
 
Once, she traveled to a remote southern town to hunt the Nameless Dreadshade. It was said that its influence had driven the townsfolk mad, making them obsessed with a ""frequency exchange"" technique. They butchered travelers to harvest their frequencies in pursuit of immortality. When the Dreadshade was slain, instruments shattered and the so-called immortals withered away, shrieking in insanity until their final breaths. Still unrepentant, still scheming, still thinking of how to sacrifice others for their own survival...
 
In that moment she realized it was not the Dreadshade that had twisted them. Their own deranged desires had summoned it forth. And so, with one great blaze, she reduced that town of living hell to ashes, purging the evil at its source.
 
That hunt taught her two truths: the demons of this world are not only Tacet Discords, and every demon is born from the human heart.
 
Perhaps the fact that she still asked these questions meant she was still human. Or perhaps, the world had already delivered its answer.
 
She had seen men claw and kill for the smallest profit, and others sacrifice their lives for the faintest flicker of hope. She had seen cities crumble to greed, and white blossoms bloom in the mud and rubble left behind. Human nature was a fragile and captivating paradox. Kindness and cruelty. Baseness and greatness. Always intertwined. The world was never just black or white. And it was within that endless gray that she found herself most at home.
 
The young Discord Slayer grew accustomed to the way others treated her and to her place between worlds. Where once her fiery wings had left her bruised and bloodied, she now learned to soar with grace.
 
By day, she circled the borderlands like a hawk in search of prey, watching the world in silence. By night, she rested alone on barren branches, guarding the ancient stars, just as they guarded her.
 
She still remembered her vow. Once, she feared the shadows and the power they held. Later, she learned to wield that fear. And now, she had chosen to become fear itself. A being so terrifying... even demons trembled before her.","Cô sẽ không bao giờ quên lần đầu tiên mình ""nuốt chửng"" một <te href=850081>Discord</te>. Cơ thể cô phản kháng dữ dội, cơn đau thiêu đốt nội tạng như thể linh hồn sắp bị hóa tro. Nhưng đau đớn còn có thể chịu đựng được—điều không thể chịu nổi là sự yếu đuối mà nó phơi bày.
",C?n ti?ng Anh nghi v?n: Discord | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
Increases Resonators' HP in Stranger Things in Honami by 10%.,Tăng HP của Resonators trong Sự Kiện Lạ ở Honami lên 10%.,C?n ti?ng Anh nghi v?n: Honami | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
