en_source,vn_translate,loi_du_doan
Fusion DMG Bonus increased by {0}.,Fusion DMG Bonus tăng {0}.,C?n ti?ng Anh nghi v?n: Bonus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
Fusion DMG Bonus+,Fusion DMG Bonus+,C?n ti?ng Anh nghi v?n: Bonus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
Fusion DMG Bonus increased by {0}.,Fusion DMG Bonus tăng {0}.,C?n ti?ng Anh nghi v?n: Bonus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
Fusion DMG Bonus+,Fusion DMG Bonus+,C?n ti?ng Anh nghi v?n: Bonus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
Fusion DMG Bonus increased by {0}.,Fusion DMG Bonus tăng {0}.,C?n ti?ng Anh nghi v?n: Bonus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
Fusion DMG Bonus+,Fusion DMG Bonus+,C?n ti?ng Anh nghi v?n: Bonus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
Glacio DMG Bonus increased by {0}.,Glacio DMG Bonus tăng thêm {0}.,C?n ti?ng Anh nghi v?n: Bonus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
Glacio DMG Bonus+,Glacio DMG Bonus+,C?n ti?ng Anh nghi v?n: Bonus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
Mid-air Charged Attack STA Cost,Tiêu Hao STA Attack Nạp Trên Không,C?n ti?ng Anh nghi v?n: Attack | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
"Casting <color=Highlight>Echo Skill</color> gives {0} Havoc DMG Bonus for {1}s, stacking up to {2} times.","Kích hoạt <color=Highlight>Echo Skill</color> tăng {0} Tấn Công Bạo Kích Hỗn Loạn trong {1} giây, có thể tích lũy tối đa {2} lần.",C?n ti?ng Anh nghi v?n: Skill | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
"Casting Resonance Liberation increases the wielder's ATK by {0}, lasting for {1}s.","Kích hoạt Resonance Liberation tăng Tấn Công của người sử dụng lên {0}, kéo dài trong {1} giây.",C?n ti?ng Anh nghi v?n: Liberation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
Resonance Energy Cost,Tiêu hao Resonance Energy,C?n ti?ng Anh nghi v?n: Energy | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.333 | M?c ??: 9.33
