en_source,vn_translate,loi_du_doan
"Beside a mysterious gateway stands a girl who has accidentally wandered through it—Dorothy. She seeks your help to defeat the monsters lurking behind the gate.
In this challenge, you can choose ""Dorothy's Companions"" as Echoes to assist you in battle, which greatly enhances the combat abilities of Resonators.
You can complete the task with your Friends.","Bên cạnh một cánh cổng bí ẩn là cô gái Dorothy, vô tình lạc qua đó. Cô ấy cần sự giúp đỡ của bạn để đánh bại những con quái vật ẩn nấp sau cánh cổng.
Trong thử thách này, bạn có thể chọn ""Dorothy's Companions"" làm Echoes hỗ trợ trong trận chiến, giúp tăng cường đáng kể sức mạnh chiến đấu của Resonators.
Bạn có thể hoàn thành nhiệm vụ cùng Bạn bè.",C?n ti?ng Anh nghi v?n: Companions; Dorothy; Dorothy's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.3 | M?c ??: 12.0
"You meet Jué in the depths of the Mianloong Chamber. Jué calls you ""Arbiter"" and invites you to step in as Jinzhou makes a historical turn and witness the transformations to come. Knowing that it is dying, Jué is willing to use its remaining life force to freeze Jinzhou in time, so that future generations may have a chance to save it. Jinhsi refuses to accept this and decides to fight the Sentinel, even at the cost of her own life.","Bạn gặp Jué trong sâu thẳm Mianloong Chamber. Jué gọi bạn là ""Trọng Tài"" và mời bạn bước vào khoảnh khắc lịch sử của Jinzhou, chứng kiến những biến đổi sắp tới. Biết mình đang hấp hối, Jué sẵn sàng dùng chút sinh lực còn lại để đóng băng thời gian của Jinzhou, để thế hệ sau có cơ hội cứu vớt nó. Nhưng Jinhsi không chấp nhận điều này và quyết tâm chiến đấu với Sentinel, dù phải trả giá bằng chính mạng sống của mình.",C?n ti?ng Anh nghi v?n: Chamber; Jinhsi; Mianloong | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.3 | M?c ??: 12.0
"You rush to rescue an adventurer under attack by Tacet Discords. The adventurer, claiming to seek Mt. Firmament's secrets, faints. Changli suspects he is hiding something and plans to gather more information once you return to Hongzhen.",Bạn vội vàng giải cứu một nhà thám hiểm đang bị Tacet Discord tấn công. Người này tự nhận đang tìm kiếm bí mật của Mt. Firmament thì bất tỉnh. Changli nghi ngờ hắn giấu gì đó và dự định thu thập thêm thông tin khi trở về Hongzhen.,C?n ti?ng Anh nghi v?n: Changli; Hongzhen; Mt | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.3 | M?c ??: 12.0
"(Mirages in a Sonoro Sphere shouldn't be able to hold a conversation like this. Are these... phantoms pulled from Changli's memory, generated by Retroact effect?)","(Những ảo ảnh trong Sonoro Sphere không thể trò chuyện như thế này được. Chúng... là những bóng ma được kéo ra từ ký ức của Changli, sinh ra bởi hiệu ứng Retroact sao?)",C?n ti?ng Anh nghi v?n: Retroact; Sonoro; Sphere | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.3 | M?c ??: 12.0
"Three days earlier, Gupan had entrusted you with investigating the ""Arcane Artist"" in the Tiger's Maw. You then decide to track down witnesses and begin gathering information.","Ba ngày trước, Gupan đã giao cho cậu nhiệm vụ điều tra ""Nghệ Nhân Bí Ẩn"" ở Tiger's Maw. Sau đó, cậu quyết định tìm kiếm nhân chứng và bắt đầu thu thập thông tin.",C?n ti?ng Anh nghi v?n: Gupan; Maw; Tiger's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.3 | M?c ??: 12.0
"In the Greenhouse, you encounter two robots that recognize you as the lone Rover of Solaris. They speak of Blake Blooms as if you share a connection with them, but it appears that the Tethys System is somehow restraining them from revealing the truth of your identity…","Tại Nhà Kính, cậu gặp hai con robot nhận ra cậu là Rover duy nhất của Solaris. Chúng nhắc đến Blake Blooms như thể cậu có mối liên hệ với họ, nhưng có vẻ như Tethys Hệ thống đang ngăn cản chúng tiết lộ sự thật về thân phận của cậu…",C?n ti?ng Anh nghi v?n: Blake; Blooms; Tethys | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.3 | M?c ??: 12.0
"After the Dark Tide twenty years ago, His Holiness Fenrico stated that the Order's leniency toward disorder had invited the calamity. In response, he revised the sacred text and urged all faithful to live by it always.","Sau Dark Tide hai mươi năm trước, Đức Giáo Hoàng Fenrico tuyên bố rằng sự khoan dung của Hội đối với sự hỗn loạn đã dẫn đến tai họa. Để đáp lại, ngài đã sửa đổi kinh thánh và kêu gọi tất cả tín đồ sống theo lời dạy đó mãi mãi.",C?n ti?ng Anh nghi v?n: Dark; Fenrico; Tide | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.3 | M?c ??: 12.0
"You venture into the cavern, and Roccia—who is usually calm—shows fear of the dark. With you by her side, she steadies herself. 
Inside, the cavern opens into a wide space where a group of Plushie Echoes are busy at work. 
Could this so-called ""Archdemon"" really just be a bunch of Plushies?","Ngươi tiến vào hang động, và Roccia – người thường rất điềm tĩnh – lại tỏ ra sợ bóng tối. Nhưng có ngươi bên cạnh, cô ấy dần lấy lại bình tĩnh.
Bên trong, hang động mở ra một không gian rộng lớn, nơi một nhóm Plushie Echoes đang tất bật làm việc.
Liệu ""Archdemon"" đáng sợ này có thực chỉ là một đám thú nhồi bông?",C?n ti?ng Anh nghi v?n: Archdemon; Plushie; Roccia | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.3 | M?c ??: 12.0
"Roccia reflects on the ship debris. These fragments once belonged to a Pilgrim's Sail—a vessel that carried everyone’s fear and confusion, while also recording their resilience and defiance. 
The debris is large and well-suited for use as scene props for the stage.","Roccia nhìn những mảnh vỡ tàu và suy nghĩ. Những mảnh vỡ này từng thuộc về một con tàu Pilgrim’s Sail—chở theo nỗi sợ hãi và hoang mang của mọi người, nhưng cũng ghi lại sự kiên cường và bất khuất của họ. 
Những mảnh vỡ này khá lớn, rất phù hợp để làm đạo cụ sân khấu.",C?n ti?ng Anh nghi v?n: Roccia; s; Sail | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.3 | M?c ??: 12.0
"You find an announcement of the previous Divine Trials.

The first trial requires the participants to select the three most toxic Sea Apples from the depths and bring them back by any means necessary.

It seems the twisted frequencies want you to experience the trials yourselves to uncover the mystery of the ""ghost girl.""","Bạn tìm thấy thông báo về kỳ Divine Trials trước đó.

Thử thách đầu tiên yêu cầu người tham gia chọn ra ba quả Sea Apple độc nhất từ vực sâu và mang chúng về bằng mọi giá.

Có vẻ như những tần số méo mó muốn các bạn tự mình trải nghiệm các thử thách để khám phá bí ẩn về ""cô gái ma"".",C?n ti?ng Anh nghi v?n: Divine; Sea; Trials | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.3 | M?c ??: 12.0
